City,Address,Floor,Bathroom,Bedroom,Land,Road,Price,Face
Bhaktapur,Balkot,3,5,7,1711.25,13,35000000,West
Bhaktapur,Balkot,3,4,6,2395.75,13,35000000,West
Lalitpur,Balkumari,3.5,1,7,1026.75,13,22500000,West
Lalitpur,Balkumari,3,4,5,1471.675,13,47000000,South
Lalitpur,Balkumari,3.5,6,6,3080.25,13,60000000,East
Kathmandu,Balkumari,2.5,4,7,1582.9,13,30000000,West
Kathmandu,Baluwakhani,3,2,6,1129.425,13,34000000,West
Kathmandu,Baluwakhani,3,3,4,1026.75,12,21500000,South East
Kathmandu,Baluwakhani,2.5,4,6,1095.2,10,27500000,West
Kathmandu,Baluwakhani,2.5,5,7,1745.475,13,34500000,East
Kathmandu,Baluwakhani,2.5,4,4,1369,13,26500000,West
Kathmandu,Baluwakhani,3,3,5,1112.31,13,28000000,West
Kathmandu,Baluwakhani,3,3,5,1197.875,13,24000000,West
Kathmandu,Baluwakhani,2.5,5,9,1026.75,13,28000000,West
Kathmandu,Baluwakhani,2,2,1,1095.2,13,17500000,West
Kathmandu,Baluwakhani,3,5,6,1437.45,13,39000000,West
Kathmandu,Baluwakhani,3,5,6,1437.45,13,39000000,West
Kathmandu,Baluwakhani,3,5,6,1369,13,37500000,West
Kathmandu,Baluwakhani,2.5,3,5,1711.25,13,39900000,West
Kathmandu,Baluwakhani,2.5,3,3,1440,12,27000000,East
Kathmandu,Baluwatar,3,4,4,1369,13,30000000,West
Kathmandu,Baluwatar,3,4,4,1711.25,13,50000000,West
Kathmandu,Baluwatar,3,5,5,1711.25,13,57500000,West
Kathmandu,Baluwatar,3,3,5,1711.25,13,60000000,West
Kathmandu,Baluwatar,3,3,5,1711.25,13,55000000,West
Kathmandu,Baluwatar,3,3,5,2738,13,60000000,West
Kathmandu,Baluwatar,2.5,3,6,2806.45,13,65000000,West
Kathmandu,Baluwatar,2.5,3,7,684.5,13,21000000,West
Kathmandu,Baluwatar,3,2,4,770.0625,15,23000000,East
Kathmandu,Baluwatar,2.5,3,7,1711.25,10,39000000,North
Kathmandu,Baluwatar,2,3,3,1882.375,15,39500000,East
Kathmandu,Baluwatar,3,6,6,2053.5,15,42500000,South East
Kathmandu,Baluwatar,3,3,6,2053.5,12,51500000,North East
Kathmandu,Baluwatar,2.5,3,4,2738,10,55000000,South
Kathmandu,Baluwatar,3,5,4,1796.8125,12,55000000,South East
Kathmandu,Baluwatar,2.5,5,4,1745.475,12,55000000,South East
Kathmandu,Baluwatar,2.5,5,6,1745.475,13,55000000,North East
Kathmandu,Baluwatar,2.5,4,4,1711.25,13,55000000,South East
Kathmandu,Baluwatar,3,4,4,2738,13,56000000,North
Kathmandu,Baluwatar,2.5,5,5,2053.5,13,60000000,South
Kathmandu,Baluwatar,3,5,5,2053.5,13,60000000,North East
Kathmandu,Baluwatar,3,6,5,2053.5,14,61000000,North
Kathmandu,Baluwatar,3,5,5,2224.625,20,65000000,West
Kathmandu,Baluwatar,2.5,3,6,2806.45,14,68000000,East
Kathmandu,Baluwatar,3.5,7,8,2053.5,12.5,71500000,East
Kathmandu,Baluwatar,2.5,4,7,2652.4375,13,67500000,West
Kathmandu,Baluwatar,2.5,3,3,3422.5,13,80000000,West
Kathmandu,Baluwatar,3,5,4,3422.5,13,80000000,West
Kathmandu,Baluwatar,3,5,4,3422.5,13,80000000,West
Kathmandu,Baluwatar,3,4,5,2139.06,13,75000000,West
Kathmandu,Baluwatar,3,3,5,2053.5,13,80000000,West
Kathmandu,Baluwatar,3,3,6,2909.125,13,55000000,West
Kathmandu,Baluwatar,2.5,3,6,2909.125,13,55000000,West
Kathmandu,Baluwatar,2.5,4,5,1711.25,13,65000000,West
Kathmandu,Baluwatar,2.5,5,4,1369,13,58500000,West
Kathmandu,Banasthali,2.5,2,5,1026.75,13,20000000,West
Kathmandu,Banasthali,3,4,5,1060.975,13,31500000,West
Kathmandu,Banasthali,2.5,3,3,855.625,13,23500000,West
Kathmandu,Banasthali,2,3,4,1026.75,15,22500000,East
Kathmandu,Banasthali,2.5,3,5,1437.45,16,26000000,South
Kathmandu,Banasthali,2.5,5,5,1369,13,27500000,South
Kathmandu,Banasthali,2.5,3,4,1026.75,10,29500000,East
Kathmandu,Banasthali,2.5,4,4,1369,12,31000000,South
Kathmandu,Banasthali,3.5,5,6,1369,13,34000000,East
Kathmandu,Banasthali,3,4,6,1369,13,34000000,East
Kathmandu,Banasthali,3.5,4,6,787.175,15,35000000,South West
Kathmandu,Banasthali,3,6,5,1967.9375,20,39500000,North
Kathmandu,Banasthali,2.5,4,8,2806.45,12,42000000,South
Kathmandu,Banasthali,3,5,7,1497.34,13,45000000,North
Kathmandu,Baneshwor,2.5,3,6,1026.75,13,38000000,West
Kathmandu,Baneshwor,3.5,4,6,1026.75,20,38000000,South West
Kathmandu,Baneshwor,3,5,6,1369,15,38700000,East
Kathmandu,Baneshwor,2.5,4,5,2738,10,47500000,West
Kathmandu,Baneshwor,2.5,4,8,2464.2,20,63500000,North East
Kathmandu,Baniyatar,3,3,6,1112.3125,10,16500000,South
Kathmandu,Baniyatar,2.5,3,4,983.96875,14,19000000,North
Kathmandu,Baniyatar,3,3,8,1369,16,22000000,North West
Kathmandu,Baniyatar,3,5,7,1129.425,13,23500000,East
Kathmandu,Baniyatar,2.5,4,5,1411.78,14,23500000,South
Kathmandu,Baniyatar,3,5,6,1197.875,12,23750000,North West
Kathmandu,Baniyatar,3,6,6,1454.5625,15,24000000,North East
Kathmandu,Baniyatar,3,5,7,1711.25,11,25000000,South
Kathmandu,Baniyatar,2.5,3,7,1129.425,13,27000000,South West
Kathmandu,Baniyatar,3.5,3,6,1711.25,10,28500000,South East
Kathmandu,Baniyatar,3,5,6,1369,20,29000000,East
Kathmandu,Baniyatar,3,5,8,1540.125,20,35000000,East
Kathmandu,Baniyatar,2.5,3,6,1197.875,13,19300000,West
Kathmandu,Baniyatar,3,3,4,1026.75,13,17500000,West
Kathmandu,Baniyatar,2.5,3,5,855.625,13,28000000,West
Kathmandu,Baniyatar,2.5,3,7,1197.875,13,28000000,West
Kathmandu,Baniyatar,2.5,4,5,1060.975,13,25000000,West
Kathmandu,Bansbari,2.5,4,6,1390.39,10,29000000,West
Kathmandu,Bansbari,3,5,6,2053.5,10,36000000,South East
Kathmandu,Bansbari,3,6,6,2053.5,10,36000000,South East
Kathmandu,Bansbari,2.5,5,6,2738,16,45000000,West
Kathmandu,Bansbari,3,5,6,2738,16,45000000,North West
Kathmandu,Bansbari,2,4,6,2738,20,45000000,East
Kathmandu,Bansbari,2,5,4,2738,16,47500000,East
Kathmandu,Bansbari,2.5,4,4,2395.75,13,50000000,South
Kathmandu,Bansbari,2.5,5,5,1437.45,12,51000000,South
Kathmandu,Bansbari,2.5,5,4,1471.675,12,52000000,South
Kathmandu,Bansbari,2.5,3,6,2464.2,20,52000000,West
Kathmandu,Bansbari,2.5,5,6,2121.95,13,55000000,South East
Kathmandu,Bansbari,2,3,4,3148.7,13,62500000,South
Kathmandu,Bansbari,2.5,2,6,2395.75,13,67500000,West
Kathmandu,Bansbari,2.5,3,4,1711.25,13,50000000,West
Kathmandu,Bansbari,2.5,5,5,2053.5,13,52500000,West
Kathmandu,Bansbari,2.5,4,5,1711.25,13,47500000,West
Kathmandu,Bansbari,3,4,2,1711.25,13,28000000,South
Kathmandu,Basantapur,2.5,5,9,449.2,13,34000000,West
Kathmandu,Basundhara,3,3,8,1882.375,13,32500000,West
Kathmandu,Basundhara,3,4,5,2395.75,13,55000000,West
Kathmandu,Basundhara,3,5,6,1540.125,13,42000000,West
Kathmandu,Basundhara,3,3,6,1197.875,13,21500000,West
Kathmandu,Basundhara,3,2,5,1369,13,20000000,West
Kathmandu,Basundhara,3,4,6,1369,13,31000000,West
Kathmandu,Basundhara,3,3,5,1437.45,13,37500000,West
Kathmandu,Basundhara,3,5,6,1540.125,13,42000000,West
Kathmandu,Basundhara,3,5,7,3080.25,13,65000000,West
Kathmandu,Basundhara,2.5,5,5,1745.475,13,42000000,West
Kathmandu,Basundhara,3,5,6,2053.5,13,45000000,West
Kathmandu,Basundhara,3,3,6,1711.25,13,43500000,West
Kathmandu,Basundhara,2.5,4,5,1745.475,13,41000000,West
Kathmandu,Basundhara,3,3,5,1369,13,35000000,West
Kathmandu,Basundhara,2.5,4,4,1711.25,13,45000000,West
Kathmandu,Basundhara,3,4,5,1369,13,33500000,West
Kathmandu,Basundhara,3,3,5,855.625,13,25000000,West
Kathmandu,Basundhara,2.5,3,5,1711.25,13,62500000,West
Kathmandu,Basundhara,2.5,3,5,1711.25,13,39500000,West
Kathmandu,Basundhara,3,3,3,941.1875,12,19500000,South East
Kathmandu,Basundhara,3,5,5,1112.3125,14,22500000,East
Kathmandu,Basundhara,2,3,4,1112.3125,16,22500000,East
Kathmandu,Basundhara,2,3,4,1112.3125,15,23000000,South
Kathmandu,Basundhara,3.5,4,6,1369,13,25000000,South East
Kathmandu,Basundhara,3,4,7,1369,14,25500000,East
Kathmandu,Basundhara,3,5,5,1454.5625,16,29800000,East
Kathmandu,Basundhara,3,4,4,1369,10,30000000,South
Kathmandu,Basundhara,2.5,3,5,1711.25,13,31000000,South West
Kathmandu,Basundhara,2.5,3,6,1882.375,15,32500000,South
Kathmandu,Basundhara,2,1,2,2139.0625,12,35000000,East
Kathmandu,Basundhara,2.5,1,2,1882.375,13,35000000,East
Kathmandu,Basundhara,3,7,6,1711.25,15,35000000,East
Kathmandu,Basundhara,3.5,6,4,1796.8125,15,36000000,South East
Kathmandu,Basundhara,2,3,4,1711.25,15,36500000,East
Kathmandu,Basundhara,3,2,5,1711.25,14,39000000,South
Kathmandu,Basundhara,3,6,5,2395.75,14,39900000,East
Kathmandu,Basundhara,3,6,7,2395.75,20,41000000,East
Kathmandu,Basundhara,2.5,5,6,1437.45,16,42000000,South East
Kathmandu,Basundhara,3,6,6,2738,15,45000000,South West
Kathmandu,Basundhara,3,6,6,2738,20,45000000,South West
Kathmandu,Basundhara,3,6,6,1967.9375,14,49000000,South
Kathmandu,Basundhara,2.5,5,5,2481.31,13,67000000,West
Kathmandu,Basundhara,2.5,3,3,2429.975,13,67000000,West
Kathmandu,Basundhara,2.5,6,9,2395.75,13,72500000,East
Kathmandu,Basundhara,2.5,4,4,2395.75,13,49500000,West
Kathmandu,Basundhara,3,3,4,941.1875,13,22500000,West
Kathmandu,Basundhara,3,5,5,1369,13,35500000,West
Kathmandu,Basundhara,2.5,4,5,684.5,13,42500000,West
Kathmandu,Battisputali,3,3,5,1540.12,13,32000000,West
Kathmandu,Battisputali,2.5,3,5,1437.45,13,50000000,West
Kathmandu,Battisputali,2.5,3,5,2772.225,13,60000000,West
Kathmandu,Battisputali,2.5,4,6,2738,13,87500000,West
Kathmandu,Battisputali,3,4,5,2738,13,85000000,West
Kathmandu,Battisputali,3.5,1,6,1540.125,20,33000000,West
Kathmandu,Battisputali,3,6,6,1540.125,15,43000000,South
Kathmandu,Bauthali,2.5,5,6,1403.225,12,25000000,West
Kathmandu,Besigaun,2.5,3,6,1060.975,13,27000000,South East
Kathmandu,Besigaun,2.5,2,5,1540.125,12,28500000,South
Kathmandu,Besigaun,3,3,6,1369,12,30000000,East
Lalitpur,Bhaisepati,3,3,4,1026.75,13,25000000,West
Lalitpur,Bhaisepati,3,2,4,1437.45,13,15500000,West
Lalitpur,Bhaisepati,2.5,4,5,1711.25,13,36000000,West
Lalitpur,Bhaisepati,2.5,5,5,1240.65,13,32500000,West
Lalitpur,Bhaisepati,2.5,5,5,1369,13,36000000,West
Lalitpur,Bhaisepati,3,3,5,3422.5,13,60000000,West
Lalitpur,Bhaisepati,2.5,4,3,2053.5,13,75000000,West
Lalitpur,Bhaisepati,3,5,4,1900,15,19000000,East
Lalitpur,Bhaisepati,2.5,5,5,1026.75,12,21000000,South East
Lalitpur,Bhaisepati,2.5,5,4,1219.265625,20,24500000,South
Lalitpur,Bhaisepati,3,4,6,1369,13,25000000,North
Lalitpur,Bhaisepati,3.5,5,4,1026.75,16,25000000,South East
Lalitpur,Bhaisepati,2.5,5,5,1095.2,16,26500000,North West
Lalitpur,Bhaisepati,2.5,4,5,1369,13,27500000,South
Lalitpur,Bhaisepati,2.5,4,3,1369,13,27500000,West
Lalitpur,Bhaisepati,2,3,5,1475.953125,20,27500000,East
Lalitpur,Bhaisepati,2.5,5,4,1095.2,20,27500000,South
Lalitpur,Bhaisepati,2.5,4,4,1471.675,16,28000000,East
Lalitpur,Bhaisepati,2.5,4,6,1411.78,13,28500000,East
Lalitpur,Bhaisepati,3,4,5,1647.078125,13,28500000,South East
Lalitpur,Bhaisepati,2,4,4,1133.703125,13,28500000,East
Lalitpur,Bhaisepati,3,5,3,1540.125,18,28500000,South West
Lalitpur,Bhaisepati,2.5,4,4,1369,20,29500000,East
Lalitpur,Bhaisepati,2.5,5,6,1095.2,20,29500000,South East
Lalitpur,Bhaisepati,2,4,5,1026.75,12,30000000,West
Lalitpur,Bhaisepati,3,3,4,1283.4375,13,30000000,West
Lalitpur,Bhaisepati,2.5,4,4,1369,14,30000000,East
Lalitpur,Bhaisepati,2.5,4,5,1129.425,15,31000000,South West
Lalitpur,Bhaisepati,2.5,5,4,1369,18,31000000,South East
Lalitpur,Bhaisepati,3,3,4,1369,18,31000000,South East
Lalitpur,Bhaisepati,3,4,4,1625.6875,12,31500000,South
Lalitpur,Bhaisepati,2.5,4,4,1129.425,16.5,32000000,North East
Lalitpur,Bhaisepati,2.5,4,4,1129.425,13,32500000,South East
Lalitpur,Bhaisepati,2.5,4,4,1129.425,13,32500000,South West
Lalitpur,Bhaisepati,3,5,4,1369,20,32500000,West
Lalitpur,Bhaisepati,2.5,3,5,1711.25,13,33500000,East
Lalitpur,Bhaisepati,2.5,4,5,1796.81,14,33500000,North East
Lalitpur,Bhaisepati,2,3,3,1095.2,16,35000000,North
Lalitpur,Bhaisepati,3,4,5,1411.78,20,35000000,South East
Lalitpur,Bhaisepati,3,4,4,1197.875,20,35000000,East
Lalitpur,Bhaisepati,2.5,7,7,1711.25,20,36000000,South West
Lalitpur,Bhaisepati,2.5,4,4,1711.25,16,37000000,East
Lalitpur,Bhaisepati,2.5,5,6,1369,16,37000000,North West
Lalitpur,Bhaisepati,2.5,4,4,2224.625,13,37500000,North West
Lalitpur,Bhaisepati,2.5,6,6,1369,16,37500000,North West
Lalitpur,Bhaisepati,3,4,3,1540.125,18,37500000,South
Lalitpur,Bhaisepati,2.5,3,4,1403.225,10,38000000,South East
Lalitpur,Bhaisepati,2.5,1,4,1403.225,12,38000000,North East
Lalitpur,Bhaisepati,3,4,4,1129.425,13,38000000,East
Lalitpur,Bhaisepati,3,4,4,1197.875,13,38000000,East
Lalitpur,Bhaisepati,2.5,4,4,1745.475,15,38000000,South East
Lalitpur,Bhaisepati,2.5,5,5,1779.7,18,38000000,North East
Lalitpur,Bhaisepati,2,4,3,1437.45,13.5,38500000,South
Lalitpur,Bhaisepati,2.5,4,4,1060.975,16,38500000,East
Lalitpur,Bhaisepati,3,4,4,2909.125,16,39077000,South
Lalitpur,Bhaisepati,2.5,4,4,1711.25,15,39900000,East
Lalitpur,Bhaisepati,2.5,3,3,1369,17,40000000,North
Lalitpur,Bhaisepati,2.5,4,6,1437.45,20,40000000,South East
Lalitpur,Bhaisepati,2.5,4,5,1711.25,20,40000000,West
Lalitpur,Bhaisepati,2,5,5,1369,13,41000000,South West
Lalitpur,Bhaisepati,2.5,4,4,1129.425,20,41000000,North
Lalitpur,Bhaisepati,3,3,7,1711.25,20,42500000,South
Lalitpur,Bhaisepati,2.5,1,1,1711.25,13,44000000,South East
Lalitpur,Bhaisepati,2.5,4,4,1129.425,20,44000000,North
Lalitpur,Bhaisepati,2.5,5,3,2121.95,17,44500000,North West
Kathmandu,Bhaisepati,3,5,4,1711.25,16,45000000,South West
Lalitpur,Bhaisepati,2.5,4,5,1437.45,13,45000000,South East
Lalitpur,Bhaisepati,2.5,5,5,3125,14,45000000,West
Lalitpur,Bhaisepati,2,4,4,1711.25,16,45000000,South
Lalitpur,Bhaisepati,2.5,5,5,1711.25,18,45000000,North East
Lalitpur,Bhaisepati,2.5,5,4,1437.45,20,45000000,South East
Lalitpur,Bhaisepati,3,4,4,1369,13,46500000,East
Lalitpur,Bhaisepati,2.5,4,4,1369,14,46500000,South East
Lalitpur,Bhaisepati,2.5,4,5,1437.45,13,47500000,South East
Lalitpur,Bhaisepati,2.5,4,4,1369,13,49500000,South East
Lalitpur,Bhaisepati,3.5,8,7,1813.925,16,49500000,North East
Lalitpur,Bhaisepati,2.5,6,5,1796.8125,15,50000000,North East
Lalitpur,Bhaisepati,2.5,5,4,2053.5,13,50000000,South
Lalitpur,Bhaisepati,2.5,3,4,1711.25,13,50000000,East
Lalitpur,Bhaisepati,2.5,4,5,1711.25,20,51000000,West
Lalitpur,Bhaisepati,2,4,4,1882.375,13,53000000,South
Lalitpur,Bhaisepati,2,4,3,1437.45,13.5,55000000,South
Lalitpur,Bhaisepati,2.5,5,4,1711.25,16,55000000,South West
Lalitpur,Bhaisepati,2.5,4,5,1779.7,16,55000000,South East
Lalitpur,Bhaisepati,2.5,5,4,1711.25,20,55000000,South West
Lalitpur,Bhaisepati,2.5,5,5,2053.5,16.5,59500000,South West
Lalitpur,Bhaisepati,2.5,4,6,2738,12,60000000,North
Lalitpur,Bhaisepati,2.5,6,5,2121.95,13,62500000,South West
Lalitpur,Bhaisepati,2.5,3,3,1813.925,16,62500000,South West
Lalitpur,Bhaisepati,2.5,3,6,2121.95,20,69500000,South East
Lalitpur,Bhaisepati,3.5,5,4,2053.5,13,70000000,West
Lalitpur,Bhaisepati,2.5,5,6,2121.95,20,75000000,South East
Lalitpur,Bhaisepati,2.5,5,4,2053.5,13,78000000,North East
Lalitpur,Bhaisepati,3.5,4,4,1095.2,13,38000000,West
Lalitpur,Bhaisepati,2.5,4,5,1711.25,13,40000000,West
Lalitpur,Bhaisepati,2.5,3,5,1796.8125,13,50000000,West
Lalitpur,Bhaisepati,3.5,4,5,3251.375,13,58000000,West
Lalitpur,Bhaisepati,2.5,5,4,1026.75,13,25000000,West
Lalitpur,Bhaisepati,2.5,4,4,2156.175,13,87500000,West
Lalitpur,Bhaisepati,2.5,4,4,1197.875,13,38000000,West
Lalitpur,Bhaisepati,2.5,5,4,2738,13,85000000,West
Lalitpur,Bhaisepati,3,5,4,1882.37,13,50000000,West
Lalitpur,Bhaisepati,3,3,5,2121.95,13,70000000,West
Lalitpur,Bhaisepati,3,3,4,1197.875,13,28500000,West
Lalitpur,Bhaisepati,3.5,4,4,1163.65,13,31100000,West
Lalitpur,Bhaisepati,3.5,2,1,1197.87,13,35000000,West
Lalitpur,Bhaisepati,3.5,4,3,1390.39,13,35600000,West
Lalitpur,Bhaisepati,3.5,4,4,1540.125,13,45000000,West
Lalitpur,Bhaisepati,3.5,5,5,2053.5,13,68000000,West
Lalitpur,Bhaisepati,3.5,5,7,1916.6,13,51000000,West
Lalitpur,Bhaisepati,3.5,3,4,1540.125,13,46000000,West
Lalitpur,Bhaisepati,3,4,4,855.625,13,25000000,West
Lalitpur,Bhaisepati,3,4,7,1197.87,13,31000000,West
Lalitpur,Bhaisepati,3,4,7,1711.25,13,42500000,West
Lalitpur,Bhaisepati,2.5,3,6,2053.5,13,45000000,West
Lalitpur,Bhaisepati,2.5,5,8,1882.375,13,47500000,West
Lalitpur,Bhaisepati,2.5,4,5,1369,13,37000000,West
Lalitpur,Bhaisepati,2.5,4,3,1349.0973,13,33500000,West
Lalitpur,Bhaisepati,2.5,4,5,1967.93,13,40000000,West
Lalitpur,Bhaisepati,2.5,4,4,1625.6875,13,50000000,West
Bhaktapur,Bhaktapur,2,2,3,1095.2,14,14000000,West
Bhaktapur,Bhaktapur,2,2,4,1369,10,17000000,East
Bhaktapur,Bhaktapur,3,3,4,1026.75,20,20000000,South East
Bhaktapur,Bhaktapur,3,1,9,2053.5,20,21500000,West
Bhaktapur,Bhaktapur,2,4,4,2395.75,20,32500000,South
Bhaktapur,Bhaktapur,2.5,2,4,790.5975,13,16000000,West
Bhaktapur,Bhaktapur,3.5,2,2,855.625,13,14000000,West
Bhaktapur,Bhaktapur,3.5,3,3,1711.25,13,27500000,West
Bhaktapur,Bhaktapur,3.5,3,3,1711.25,13,27500000,West
Bhaktapur,Bhaktapur,3.5,4,5,2395.75,13,43000000,West
Bhaktapur,Bhaktapur,2.5,3,4,1711.25,13,34500000,West
Bhaktapur,Bhaktapur,2.5,2,3,1197.87,13,13500000,West
Kathmandu,Bhangal,3,3,6,1369,13,36500000,West
Kathmandu,Bhangal,3,5,5,1437.45,13,37500000,West
Kathmandu,Bhangal,3,3,4,787.175,13,18500000,West
Kathmandu,Bhangal,3,4,7,1129.425,13,29500000,West
Kathmandu,Bhangal,2,3,5,1369,13,18000000,West
Kathmandu,Bhangal,2.5,3,4,1095.2,13,28500000,West
Kathmandu,Bhangal,3,5,6,1048.14,13,24000000,West
Kathmandu,Bhangal,3,5,4,752.95,13,19500000,West
Kathmandu,Bhangal,3,4,7,1026.75,13,37500000,West
Kathmandu,Bhangal,3,5,6,1048.14,13,24000000,West
Kathmandu,Bhangal,3,4,7,1197.875,13,25000000,West
Kathmandu,Bhangal,3,4,5,1437.45,13,23000000,West
Kathmandu,Bhangal,3,5,6,1711.25,13,38500000,West
Kathmandu,Bhangal,3,4,6,1711.25,13,37500000,West
