Price,Address,Floor,Bathroom,Bedroom,Land,Road,City,Face
28000000,Baluwakhani,2.5,5,9,1026.75,13,Kathmandu,West
39000000,Baluwakhani,3,5,6,1437.45,13,Kathmandu,West
39000000,Baluwakhani,3,5,6,1437.45,13,Kathmandu,West
37500000,Baluwakhani,3,5,6,1369,13,Kathmandu,West
39900000,Baluwakhani,2.5,3,5,1711.25,13,Kathmandu,West
27000000,Baluwakhani,2.5,3,3,1440,12,Kathmandu,East
30000000,Baluwatar,3,4,4,1369,13,Kathmandu,West
50000000,Baluwatar,3,4,4,1711.25,13,Kathmandu,West
57500000,Baluwatar,3,5,5,1711.25,13,Kathmandu,West
60000000,Baluwatar,3,3,5,1711.25,13,Kathmandu,West
55000000,Baluwatar,3,3,5,1711.25,13,Kathmandu,West
60000000,Baluwatar,3,3,5,2738,13,Kathmandu,West
65000000,Baluwatar,2.5,3,6,2806.45,13,Kathmandu,West
39000000,Baluwatar,2.5,3,7,1711.25,10,Kathmandu,North
39500000,Baluwatar,2,3,3,1882.375,15,Kathmandu,East
42500000,Baluwatar,3,6,6,2053.5,15,Kathmandu,South East
51500000,Baluwatar,3,3,6,2053.5,12,Kathmandu,North East
55000000,Baluwatar,2.5,3,4,2738,10,Kathmandu,South
55000000,Baluwatar,3,5,4,1796.8125,12,Kathmandu,South East
55000000,Baluwatar,2.5,5,4,1745.475,12,Kathmandu,South East
55000000,Baluwatar,2.5,5,6,1745.475,13,Kathmandu,North East
55000000,Baluwatar,2.5,4,4,1711.25,13,Kathmandu,South East
56000000,Baluwatar,3,4,4,2738,13,Kathmandu,North
60000000,Baluwatar,2.5,5,5,2053.5,13,Kathmandu,South
60000000,Baluwatar,3,5,5,2053.5,13,Kathmandu,North East
61000000,Baluwatar,3,6,5,2053.5,14,Kathmandu,North
65000000,Baluwatar,3,5,5,2224.625,20,Kathmandu,West
68000000,Baluwatar,2.5,3,6,2806.45,14,Kathmandu,East
71500000,Baluwatar,3.5,7,8,2053.5,12.5,Kathmandu,East
67500000,Baluwatar,2.5,4,7,2652.4375,13,Kathmandu,West
80000000,Baluwatar,2.5,3,3,3422.5,13,Kathmandu,West
80000000,Baluwatar,3,5,4,3422.5,13,Kathmandu,West
80000000,Baluwatar,3,5,4,3422.5,13,Kathmandu,West
75000000,Baluwatar,3,4,5,2139.06,13,Kathmandu,West
80000000,Baluwatar,3,3,5,2053.5,13,Kathmandu,West
55000000,Baluwatar,3,3,6,2909.125,13,Kathmandu,West
55000000,Baluwatar,2.5,3,6,2909.125,13,Kathmandu,West
65000000,Baluwatar,2.5,4,5,1711.25,13,Kathmandu,West
58500000,Baluwatar,2.5,5,4,1369,13,Kathmandu,West
20000000,Banasthali,2.5,2,5,1026.75,13,Kathmandu,West
31500000,Banasthali,3,4,5,1060.975,13,Kathmandu,West
22500000,Banasthali,2,3,4,1026.75,15,Kathmandu,East
26000000,Banasthali,2.5,3,5,1437.45,16,Kathmandu,South
27500000,Banasthali,2.5,5,5,1369,13,Kathmandu,South
29500000,Banasthali,2.5,3,4,1026.75,10,Kathmandu,East
31000000,Banasthali,2.5,4,4,1369,12,Kathmandu,South
34000000,Banasthali,3.5,5,6,1369,13,Kathmandu,East
34000000,Banasthali,3,4,6,1369,13,Kathmandu,East
39500000,Banasthali,3,6,5,1967.9375,20,Kathmandu,North
42000000,Banasthali,2.5,4,8,2806.45,12,Kathmandu,South
45000000,Banasthali,3,5,7,1497.34,13,Kathmandu,North
38000000,Baneshwor,2.5,3,6,1026.75,13,Kathmandu,West
38000000,Baneshwor,3.5,4,6,1026.75,20,Kathmandu,South West
38700000,Baneshwor,3,5,6,1369,15,Kathmandu,East
47500000,Baneshwor,2.5,4,5,2738,10,Kathmandu,West
63500000,Baneshwor,2.5,4,8,2464.2,20,Kathmandu,North East
16500000,Baniyatar,3,3,6,1112.3125,10,Kathmandu,South
22000000,Baniyatar,3,3,8,1369,16,Kathmandu,North West
23500000,Baniyatar,3,5,7,1129.425,13,Kathmandu,East
23500000,Baniyatar,2.5,4,5,1411.78,14,Kathmandu,South
23750000,Baniyatar,3,5,6,1197.875,12,Kathmandu,North West
24000000,Baniyatar,3,6,6,1454.5625,15,Kathmandu,North East
25000000,Baniyatar,3,5,7,1711.25,11,Kathmandu,South
27000000,Baniyatar,2.5,3,7,1129.425,13,Kathmandu,South West
28500000,Baniyatar,3.5,3,6,1711.25,10,Kathmandu,South East
29000000,Baniyatar,3,5,6,1369,20,Kathmandu,East
35000000,Baniyatar,3,5,8,1540.125,20,Kathmandu,East
19300000,Baniyatar,2.5,3,6,1197.875,13,Kathmandu,West
17500000,Baniyatar,3,3,4,1026.75,13,Kathmandu,West
28000000,Baniyatar,2.5,3,7,1197.875,13,Kathmandu,West
25000000,Baniyatar,2.5,4,5,1060.975,13,Kathmandu,West
29000000,Bansbari,2.5,4,6,1390.39,10,Kathmandu,West
36000000,Bansbari,3,5,6,2053.5,10,Kathmandu,South East
36000000,Bansbari,3,6,6,2053.5,10,Kathmandu,South East
45000000,Bansbari,2.5,5,6,2738,16,Kathmandu,West
45000000,Bansbari,3,5,6,2738,16,Kathmandu,North West
45000000,Bansbari,2,4,6,2738,20,Kathmandu,East
47500000,Bansbari,2,5,4,2738,16,Kathmandu,East
50000000,Bansbari,2.5,4,4,2395.75,13,Kathmandu,South
51000000,Bansbari,2.5,5,5,1437.45,12,Kathmandu,South
52000000,Bansbari,2.5,5,4,1471.675,12,Kathmandu,South
52000000,Bansbari,2.5,3,6,2464.2,20,Kathmandu,West
55000000,Bansbari,2.5,5,6,2121.95,13,Kathmandu,South East
62500000,Bansbari,2,3,4,3148.7,13,Kathmandu,South
67500000,Bansbari,2.5,2,6,2395.75,13,Kathmandu,West
50000000,Bansbari,2.5,3,4,1711.25,13,Kathmandu,West
52500000,Bansbari,2.5,5,5,2053.5,13,Kathmandu,West
47500000,Bansbari,2.5,4,5,1711.25,13,Kathmandu,West
28000000,Bansbari,3,4,2,1711.25,13,Kathmandu,South
32500000,Basundhara,3,3,8,1882.375,13,Kathmandu,West
55000000,Basundhara,3,4,5,2395.75,13,Kathmandu,West
42000000,Basundhara,3,5,6,1540.125,13,Kathmandu,West
21500000,Basundhara,3,3,6,1197.875,13,Kathmandu,West
20000000,Basundhara,3,2,5,1369,13,Kathmandu,West
31000000,Basundhara,3,4,6,1369,13,Kathmandu,West
37500000,Basundhara,3,3,5,1437.45,13,Kathmandu,West
42000000,Basundhara,3,5,6,1540.125,13,Kathmandu,West
65000000,Basundhara,3,5,7,3080.25,13,Kathmandu,West
42000000,Basundhara,2.5,5,5,1745.475,13,Kathmandu,West
45000000,Basundhara,3,5,6,2053.5,13,Kathmandu,West
43500000,Basundhara,3,3,6,1711.25,13,Kathmandu,West
41000000,Basundhara,2.5,4,5,1745.475,13,Kathmandu,West
35000000,Basundhara,3,3,5,1369,13,Kathmandu,West
45000000,Basundhara,2.5,4,4,1711.25,13,Kathmandu,West
33500000,Basundhara,3,4,5,1369,13,Kathmandu,West
62500000,Basundhara,2.5,3,5,1711.25,13,Kathmandu,West
39500000,Basundhara,2.5,3,5,1711.25,13,Kathmandu,West
22500000,Basundhara,3,5,5,1112.3125,14,Kathmandu,East
22500000,Basundhara,2,3,4,1112.3125,16,Kathmandu,East
23000000,Basundhara,2,3,4,1112.3125,15,Kathmandu,South
25000000,Basundhara,3.5,4,6,1369,13,Kathmandu,South East
25500000,Basundhara,3,4,7,1369,14,Kathmandu,East
29800000,Basundhara,3,5,5,1454.5625,16,Kathmandu,East
30000000,Basundhara,3,4,4,1369,10,Kathmandu,South
31000000,Basundhara,2.5,3,5,1711.25,13,Kathmandu,South West
32500000,Basundhara,2.5,3,6,1882.375,15,Kathmandu,South
35000000,Basundhara,2,1,2,2139.0625,12,Kathmandu,East
35000000,Basundhara,2.5,1,2,1882.375,13,Kathmandu,East
35000000,Basundhara,3,7,6,1711.25,15,Kathmandu,East
36000000,Basundhara,3.5,6,4,1796.8125,15,Kathmandu,South East
36500000,Basundhara,2,3,4,1711.25,15,Kathmandu,East
39000000,Basundhara,3,2,5,1711.25,14,Kathmandu,South
39900000,Basundhara,3,6,5,2395.75,14,Kathmandu,East
41000000,Basundhara,3,6,7,2395.75,20,Kathmandu,East
42000000,Basundhara,2.5,5,6,1437.45,16,Kathmandu,South East
45000000,Basundhara,3,6,6,2738,15,Kathmandu,South West
45000000,Basundhara,3,6,6,2738,20,Kathmandu,South West
49000000,Basundhara,3,6,6,1967.9375,14,Kathmandu,South
67000000,Basundhara,2.5,5,5,2481.31,13,Kathmandu,West
67000000,Basundhara,2.5,3,3,2429.975,13,Kathmandu,West
72500000,Basundhara,2.5,6,9,2395.75,13,Kathmandu,East
49500000,Basundhara,2.5,4,4,2395.75,13,Kathmandu,West
35500000,Basundhara,3,5,5,1369,13,Kathmandu,West
32000000,Battisputali,3,3,5,1540.12,13,Kathmandu,West
50000000,Battisputali,2.5,3,5,1437.45,13,Kathmandu,West
60000000,Battisputali,2.5,3,5,2772.225,13,Kathmandu,West
87500000,Battisputali,2.5,4,6,2738,13,Kathmandu,West
85000000,Battisputali,3,4,5,2738,13,Kathmandu,West
33000000,Battisputali,3.5,1,6,1540.125,20,Kathmandu,West
43000000,Battisputali,3,6,6,1540.125,15,Kathmandu,South
25000000,other,2.5,5,6,1403.225,12,Kathmandu,West
27000000,other,2.5,3,6,1060.975,13,Kathmandu,South East
28500000,other,2.5,2,5,1540.125,12,Kathmandu,South
30000000,other,3,3,6,1369,12,Kathmandu,East
25000000,Bhaisepati,3,3,4,1026.75,13,Lalitpur,West
15500000,Bhaisepati,3,2,4,1437.45,13,Lalitpur,West
36000000,Bhaisepati,2.5,4,5,1711.25,13,Lalitpur,West
32500000,Bhaisepati,2.5,5,5,1240.65,13,Lalitpur,West
36000000,Bhaisepati,2.5,5,5,1369,13,Lalitpur,West
60000000,Bhaisepati,3,3,5,3422.5,13,Lalitpur,West
75000000,Bhaisepati,2.5,4,3,2053.5,13,Lalitpur,West
19000000,Bhaisepati,3,5,4,1900,15,Lalitpur,East
21000000,Bhaisepati,2.5,5,5,1026.75,12,Lalitpur,South East
24500000,Bhaisepati,2.5,5,4,1219.265625,20,Lalitpur,South
25000000,Bhaisepati,3,4,6,1369,13,Lalitpur,North
25000000,Bhaisepati,3.5,5,4,1026.75,16,Lalitpur,South East
26500000,Bhaisepati,2.5,5,5,1095.2,16,Lalitpur,North West
27500000,Bhaisepati,2.5,4,5,1369,13,Lalitpur,South
27500000,Bhaisepati,2.5,4,3,1369,13,Lalitpur,West
27500000,Bhaisepati,2,3,5,1475.953125,20,Lalitpur,East
27500000,Bhaisepati,2.5,5,4,1095.2,20,Lalitpur,South
28000000,Bhaisepati,2.5,4,4,1471.675,16,Lalitpur,East
28500000,Bhaisepati,2.5,4,6,1411.78,13,Lalitpur,East
28500000,Bhaisepati,3,4,5,1647.078125,13,Lalitpur,South East
28500000,Bhaisepati,2,4,4,1133.703125,13,Lalitpur,East
28500000,Bhaisepati,3,5,3,1540.125,18,Lalitpur,South West
29500000,Bhaisepati,2.5,4,4,1369,20,Lalitpur,East
29500000,Bhaisepati,2.5,5,6,1095.2,20,Lalitpur,South East
30000000,Bhaisepati,2,4,5,1026.75,12,Lalitpur,West
30000000,Bhaisepati,3,3,4,1283.4375,13,Lalitpur,West
30000000,Bhaisepati,2.5,4,4,1369,14,Lalitpur,East
31000000,Bhaisepati,2.5,4,5,1129.425,15,Lalitpur,South West
31000000,Bhaisepati,2.5,5,4,1369,18,Lalitpur,South East
31000000,Bhaisepati,3,3,4,1369,18,Lalitpur,South East
31500000,Bhaisepati,3,4,4,1625.6875,12,Lalitpur,South
32000000,Bhaisepati,2.5,4,4,1129.425,16.5,Lalitpur,North East
32500000,Bhaisepati,2.5,4,4,1129.425,13,Lalitpur,South East
32500000,Bhaisepati,2.5,4,4,1129.425,13,Lalitpur,South West
32500000,Bhaisepati,3,5,4,1369,20,Lalitpur,West
33500000,Bhaisepati,2.5,3,5,1711.25,13,Lalitpur,East
33500000,Bhaisepati,2.5,4,5,1796.81,14,Lalitpur,North East
35000000,Bhaisepati,2,3,3,1095.2,16,Lalitpur,North
35000000,Bhaisepati,3,4,5,1411.78,20,Lalitpur,South East
35000000,Bhaisepati,3,4,4,1197.875,20,Lalitpur,East
36000000,Bhaisepati,2.5,7,7,1711.25,20,Lalitpur,South West
37000000,Bhaisepati,2.5,4,4,1711.25,16,Lalitpur,East
37000000,Bhaisepati,2.5,5,6,1369,16,Lalitpur,North West
37500000,Bhaisepati,2.5,4,4,2224.625,13,Lalitpur,North West
37500000,Bhaisepati,2.5,6,6,1369,16,Lalitpur,North West
37500000,Bhaisepati,3,4,3,1540.125,18,Lalitpur,South
38000000,Bhaisepati,2.5,3,4,1403.225,10,Lalitpur,South East
38000000,Bhaisepati,2.5,1,4,1403.225,12,Lalitpur,North East
38000000,Bhaisepati,3,4,4,1129.425,13,Lalitpur,East
38000000,Bhaisepati,3,4,4,1197.875,13,Lalitpur,East
38000000,Bhaisepati,2.5,4,4,1745.475,15,Lalitpur,South East
38000000,Bhaisepati,2.5,5,5,1779.7,18,Lalitpur,North East
38500000,Bhaisepati,2,4,3,1437.45,13.5,Lalitpur,South
38500000,Bhaisepati,2.5,4,4,1060.975,16,Lalitpur,East
39077000,Bhaisepati,3,4,4,2909.125,16,Lalitpur,South
39900000,Bhaisepati,2.5,4,4,1711.25,15,Lalitpur,East
40000000,Bhaisepati,2.5,3,3,1369,17,Lalitpur,North
40000000,Bhaisepati,2.5,4,6,1437.45,20,Lalitpur,South East
40000000,Bhaisepati,2.5,4,5,1711.25,20,Lalitpur,West
41000000,Bhaisepati,2,5,5,1369,13,Lalitpur,South West
41000000,Bhaisepati,2.5,4,4,1129.425,20,Lalitpur,North
42500000,Bhaisepati,3,3,7,1711.25,20,Lalitpur,South
44000000,Bhaisepati,2.5,4,4,1129.425,20,Lalitpur,North
44500000,Bhaisepati,2.5,5,3,2121.95,17,Lalitpur,North West
45000000,Bhaisepati,3,5,4,1711.25,16,Kathmandu,South West
45000000,Bhaisepati,2.5,4,5,1437.45,13,Lalitpur,South East
45000000,Bhaisepati,2.5,5,5,3125,14,Lalitpur,West
45000000,Bhaisepati,2,4,4,1711.25,16,Lalitpur,South
45000000,Bhaisepati,2.5,5,5,1711.25,18,Lalitpur,North East
45000000,Bhaisepati,2.5,5,4,1437.45,20,Lalitpur,South East
46500000,Bhaisepati,3,4,4,1369,13,Lalitpur,East
46500000,Bhaisepati,2.5,4,4,1369,14,Lalitpur,South East
47500000,Bhaisepati,2.5,4,5,1437.45,13,Lalitpur,South East
49500000,Bhaisepati,2.5,4,4,1369,13,Lalitpur,South East
49500000,Bhaisepati,3.5,8,7,1813.925,16,Lalitpur,North East
50000000,Bhaisepati,2.5,6,5,1796.8125,15,Lalitpur,North East
50000000,Bhaisepati,2.5,5,4,2053.5,13,Lalitpur,South
50000000,Bhaisepati,2.5,3,4,1711.25,13,Lalitpur,East
51000000,Bhaisepati,2.5,4,5,1711.25,20,Lalitpur,West
53000000,Bhaisepati,2,4,4,1882.375,13,Lalitpur,South
55000000,Bhaisepati,2,4,3,1437.45,13.5,Lalitpur,South
55000000,Bhaisepati,2.5,5,4,1711.25,16,Lalitpur,South West
55000000,Bhaisepati,2.5,4,5,1779.7,16,Lalitpur,South East
55000000,Bhaisepati,2.5,5,4,1711.25,20,Lalitpur,South West
59500000,Bhaisepati,2.5,5,5,2053.5,16.5,Lalitpur,South West
60000000,Bhaisepati,2.5,4,6,2738,12,Lalitpur,North
62500000,Bhaisepati,2.5,6,5,2121.95,13,Lalitpur,South West
62500000,Bhaisepati,2.5,3,3,1813.925,16,Lalitpur,South West
69500000,Bhaisepati,2.5,3,6,2121.95,20,Lalitpur,South East
70000000,Bhaisepati,3.5,5,4,2053.5,13,Lalitpur,West
75000000,Bhaisepati,2.5,5,6,2121.95,20,Lalitpur,South East
78000000,Bhaisepati,2.5,5,4,2053.5,13,Lalitpur,North East
38000000,Bhaisepati,3.5,4,4,1095.2,13,Lalitpur,West
40000000,Bhaisepati,2.5,4,5,1711.25,13,Lalitpur,West
50000000,Bhaisepati,2.5,3,5,1796.8125,13,Lalitpur,West
58000000,Bhaisepati,3.5,4,5,3251.375,13,Lalitpur,West
25000000,Bhaisepati,2.5,5,4,1026.75,13,Lalitpur,West
87500000,Bhaisepati,2.5,4,4,2156.175,13,Lalitpur,West
38000000,Bhaisepati,2.5,4,4,1197.875,13,Lalitpur,West
85000000,Bhaisepati,2.5,5,4,2738,13,Lalitpur,West
50000000,Bhaisepati,3,5,4,1882.37,13,Lalitpur,West
70000000,Bhaisepati,3,3,5,2121.95,13,Lalitpur,West
28500000,Bhaisepati,3,3,4,1197.875,13,Lalitpur,West
31100000,Bhaisepati,3.5,4,4,1163.65,13,Lalitpur,West
35600000,Bhaisepati,3.5,4,3,1390.39,13,Lalitpur,West
45000000,Bhaisepati,3.5,4,4,1540.125,13,Lalitpur,West
68000000,Bhaisepati,3.5,5,5,2053.5,13,Lalitpur,West
51000000,Bhaisepati,3.5,5,7,1916.6,13,Lalitpur,West
46000000,Bhaisepati,3.5,3,4,1540.125,13,Lalitpur,West
31000000,Bhaisepati,3,4,7,1197.87,13,Lalitpur,West
42500000,Bhaisepati,3,4,7,1711.25,13,Lalitpur,West
45000000,Bhaisepati,2.5,3,6,2053.5,13,Lalitpur,West
47500000,Bhaisepati,2.5,5,8,1882.375,13,Lalitpur,West
37000000,Bhaisepati,2.5,4,5,1369,13,Lalitpur,West
33500000,Bhaisepati,2.5,4,3,1349.0973,13,Lalitpur,West
40000000,Bhaisepati,2.5,4,5,1967.93,13,Lalitpur,West
50000000,Bhaisepati,2.5,4,4,1625.6875,13,Lalitpur,West
14000000,Bhaktapur,2,2,3,1095.2,14,Bhaktapur,West
17000000,Bhaktapur,2,2,4,1369,10,Bhaktapur,East
20000000,Bhaktapur,3,3,4,1026.75,20,Bhaktapur,South East
21500000,Bhaktapur,3,1,9,2053.5,20,Bhaktapur,West
32500000,Bhaktapur,2,4,4,2395.75,20,Bhaktapur,South
27500000,Bhaktapur,3.5,3,3,1711.25,13,Bhaktapur,West
27500000,Bhaktapur,3.5,3,3,1711.25,13,Bhaktapur,West
43000000,Bhaktapur,3.5,4,5,2395.75,13,Bhaktapur,West
34500000,Bhaktapur,2.5,3,4,1711.25,13,Bhaktapur,West
13500000,Bhaktapur,2.5,2,3,1197.87,13,Bhaktapur,West
36500000,Bhangal,3,3,6,1369,13,Kathmandu,West
37500000,Bhangal,3,5,5,1437.45,13,Kathmandu,West
29500000,Bhangal,3,4,7,1129.425,13,Kathmandu,West
18000000,Bhangal,2,3,5,1369,13,Kathmandu,West
28500000,Bhangal,2.5,3,4,1095.2,13,Kathmandu,West
24000000,Bhangal,3,5,6,1048.14,13,Kathmandu,West
37500000,Bhangal,3,4,7,1026.75,13,Kathmandu,West
24000000,Bhangal,3,5,6,1048.14,13,Kathmandu,West
25000000,Bhangal,3,4,7,1197.875,13,Kathmandu,West
23000000,Bhangal,3,4,5,1437.45,13,Kathmandu,West
38500000,Bhangal,3,5,6,1711.25,13,Kathmandu,West
37500000,Bhangal,3,4,6,1711.25,13,Kathmandu,West
35000000,Bhangal,3,4,5,1369,13,Kathmandu,West
34000000,Bhangal,2.5,4,4,1283.43,13,Kathmandu,West
38900000,Bhangal,2.5,5,7,1581.195,13,Kathmandu,West
16500000,Bhangal,2.5,4,5,1197.875,13,Kathmandu,South West
16500000,Bhangal,3,4,5,1454.5625,13,Kathmandu,South West
17900000,Bhangal,3,5,5,1454.5625,14,Kathmandu,East
19900000,Bhangal,3,5,6,1112.3125,12,Kathmandu,South West
21000000,Bhangal,2.5,6,6,1112.31,12,Kathmandu,West
21000000,Bhangal,2,4,5,1454.5625,13,Kathmandu,West
21000000,Bhangal,2.5,3,6,1026.75,20,Kathmandu,East
21500000,Bhangal,3,5,5,1454.5625,13,Kathmandu,East
21500000,Bhangal,3,5,5,1454.5625,13,Kathmandu,South
21500000,Bhangal,3,5,6,1454.5625,20,Kathmandu,North East
22000000,Bhangal,2.5,5,7,1069.53,13,Kathmandu,East
23000000,Bhangal,3,5,5,1369,13,Kathmandu,West
23800000,Bhangal,2.5,5,5,1454.56,13,Kathmandu,East
23800000,Bhangal,3,6,6,1369,18,Kathmandu,East
24000000,Bhangal,3,6,6,1369,14,Kathmandu,South East
24000000,Bhangal,3,6,6,1369,15,Kathmandu,North West
25000000,Bhangal,3,3,4,1369,13,Kathmandu,East
27000000,Bhangal,2.5,4,5,1369,12,Kathmandu,South East
27500000,Bhangal,3,6,6,1369,14,Kathmandu,East
28500000,Bhangal,2.5,3,4,1095.2,9,Kathmandu,East
28500000,Bhangal,3,6,6,1796.8125,20,Kathmandu,East
30000000,Bhangal,2.5,4,6,1095.2,12,Kathmandu,North
32000000,Bhangal,2.5,6,5,1060.975,13,Kathmandu,North
33500000,Bhangal,3,4,4,1796.8125,12,Kathmandu,South
34000000,Bhangal,2.5,5,3,1711.25,13,Kathmandu,South West
34500000,Bhangal,3,5,5,2395.75,15,Kathmandu,South West
35000000,Bhangal,2.5,4,6,2053.5,13,Kathmandu,South
35000000,Bhangal,2.5,3,3,1711.25,14,Kathmandu,East
40000000,Bhangal,2.5,4,5,1711.25,20,Kathmandu,East
45000000,Bhangal,3,6,7,1745.475,13,Kathmandu,South West
56000000,Bhangal,3.5,3,6,2738,13,Kathmandu,West
