Floors,City,Address,Land,Price,Bedroom,Bathroom,Face,Road
,Kathmandu,Halchowk,1026.75,8400000,0,0,South,0
,Lalitpur,Bakhundol,3764.75,280000,5,5,North,0
,Kathmandu,Gongabu,1711.25,27500000,0,0,West,0
,Kathmandu,Lazimpat,1026.75,35000,0,2,North,0
, Kathmandu,Bansbari,2053.5,36000000,6,6,,0
1,Lalitpur,Baghdol,3764.75,39000000,2,1,East,0
1, Kathmandu,Budhanilkantha,2053.5,45000000,1,1,,0
,Lalitpur,Bhaisepati,1711.25,40000000,0,0,East,0
,Lalitpur,Imadol,941.1875,18200000,0,0,North East,0
2,Kathmandu,Grande Villa,1369,45000,4,3,East,0
,Lalitpur,Imadol,1454.5625,19000000,4,3,North,0
2,Lalitpur,Imadol,1069.53125,4757160.49,4,3,South,0
1, Kathmandu,Samakhusi,2738,120000000,1,1,,0
2,Kathmandu,Koteshwor,4449.25,24000,0,3,West,0
3,Kathmandu,Khusibu,1133.703125,34000000,5,3,East,0
,Kathmandu,Baluwatar,3422.5,115000000,5,3,South,0
3,Kathmandu,Kavresthali,1197.875,19000000,6,3,North East,0
,Kathmandu,Tinkune,1000,25000,0,0,North,0
,Kathmandu,Kalimati,1283.4375,29500000,0,0,East,0
,Kathmandu,Dhungedhara,1882.375,55000000,0,0,East,0
3.5, Kathmandu,Naya Bazar,2087.725,95000000,23,8,South West,0
, Kathmandu,Thankot,1711.25,21000000,5,,,0
, Kathmandu,Hepali Height,1711.25,41000000,,,,0
2,Kathmandu,Ramkot,1369,15500000,4,2,North East,0
3,Kathmandu,Ramkot,1197.875,17500000,7,3,East,0
3,Kathmandu,Nagarjun,2481.3125,39875000,0,4,North East,0
2.5, Kathmandu,Hattigaunda,1711.25,32500000,7,,,0
,Lalitpur,Imadol,1026.75,20000000,3,3,East,0
,Kathmandu,Lazimpat,3422.5,30000,1,1,East,0
,Kathmandu,Dhungedhara,250,630000,0,0,South East,0
,Kathmandu,Panipokhari,7615.0625,70000000,4,0,North,0
,Kathmandu,Machha Pokhari,1112.3125,20000000,0,0,East,0
,Kathmandu,Khusibu,2053.5,250000,17,19,East,0
,Kathmandu,Maharajgunj,3593.625,62500000,0,0,West,0
2.5, Kathmandu,Budhanilkantha,7187.25,98000000,7,7,,0
4,Kathmandu,Balkhu,1796.8125,60000000,0,0,South,0
, Kathmandu,Shantinagar,3456.725,90000000,6,,,0
,Kathmandu,Lazimpat,1369,75000000,4,6,East,0
,Kathmandu,Lazimpat,962.578125,55000000,0,0,North,0
, Kathmandu,Baluwatar,3422.5,130000000,,,,0
, Kathmandu,Dhapasi,1745.475,31000000,,,,0
2.5, Lalitpur,Sainbu,1369,30000000,4,,North,0
,Kathmandu,Kalanki,500,450000,0,0,North,0
,Kathmandu,Koteshwor,5476,1600000,0,0,North,0
6,Kathmandu,Tokha,1380,17500000,3,3,North East,0
,Kathmandu,Koteshwor,855.625,19000000,0,0,East,0
,Kathmandu,Koteshwor,800,1300000,0,0,North East,0
,Lalitpur,Bhaisepati,4449.25,160000000,0,0,South East,0
,Kathmandu,Gokarneshwor,1026.75,8500000,0,0,West,0
,Kathmandu,Balaju,500,3500000,0,0,North,0
,Kathmandu,Sano Bharyang,1369,50000,3,2,West,0
3,Kathmandu,Gongabu,1454.5625,22500000,0,0,North,0
,Lalitpur,Dhobighat,1026.75,10000,1,1,East,0
,Lalitpur,Taukhel,200,600000,0,0,South West,0
,Kathmandu,Satungal,1197.875,18900000,0,0,West,0
,Kathmandu,Kamalpokhari,2450,35000000,3,3,South East,0
, Kathmandu,Dhapasi,7871.75,132000000,4,5,South,0
,Bhaktapur,Suryabinayak,941.1875,12200000,0,0,South,0
,Kathmandu,Dillibazar,1369,58500000,0,0,East,0
,Bhaktapur,Suryabinayak,1540.125,10000000,0,0,East,0
,Lalitpur,Dhobighat,1026.75,20000,1,1,East,0
,Kathmandu,Shantinagar,2053.5,39000000,0,0,East,0
3,Kathmandu,Kapan,1197.875,15000000,4,4,West,0
,Kathmandu,Sitapaila,1283.4375,21500000,0,0,West,0
3,Lalitpur,Thasikhel,1369,24000000,12,4,South East,0
,Kathmandu,Chandragiri,150,600000,0,0,South,0
3,Kathmandu,Naya Bazar,1026.75,31000000,3,4,East,0
3,Kathmandu,Sitapaila,1112.3125,17000000,4,4,North,0
,Kathmandu,Soltimode,3422.5,40000,3,2,East,0
,Kathmandu,Jorpati,3.8E+14,20000,1,1,East,0
,Lalitpur,Sanepa,1833,80000,4,3,East,0
,Bhaktapur,Sallaghari,1369,70000,4,3,East,0
5, Kathmandu,Kalimati,684.5,50000000,,,,0
,Kathmandu,Bishal Nagar,3700,45000000,4,4,North East,0
,Lalitpur,Sanepa,1026.75,25000,4,2,East,0
9,Kathmandu,Bishal Nagar,1371,100000,2,2,West,0
2,Lalitpur,Sanepa,2738,150000,3,4,South West,0
,Kathmandu,Kapan,1000,30000,0,0,North,0
,Kathmandu,Sitapaila,2053.5,65000,3,3,East,0
4,Kathmandu,Bishal Nagar,770.0625,72500000,0,0,West,0
2,Lalitpur,Harisiddhi,1454.5625,20000000,5,3,East,0
,Kathmandu,Kamalpokhari,3400,55000000,2,3,North East,0
,Kathmandu,Naya Bazar,1112.3125,32000000,8,4,North,0
,Kathmandu,Sitapaila,1197.875,27000000,0,0,South,0
,Kathmandu,Maitidevi,500,750000,0,0,North,0
3.5, Kathmandu,Kalanki,1711.25,27500000,7,4,West,0
,Kathmandu,Goldhunga,941.1875,9000000,2,2,East,0
2.5, Kathmandu,Samakhusi,1369,32000000,6,5,,0
,Kathmandu,Kapan,2053.5,31000000,0,3,North,0
, Kathmandu,Kalanki,1369,25000000,,,,0
, Kathmandu,Golfutar,1369,34000000,5,3,,0
, Kathmandu,Maharajgunj,1369,49000000,4,5,,0
,Kathmandu,Budhanilkantha,1711.25,200000,4,4,East,0
, Kathmandu,Taulung,1369,29500000,5,,,0
,Lalitpur,Ekantakuna,500,600000,0,0,South East,0
,Kathmandu,Narephate,1219.265625,19000000,0,0,East,0
4,Kathmandu,Kapan,1112.3125,17500000,7,5,West,0
,Kathmandu,Narephate,855.625,14500000,0,0,East,0
,Kathmandu,Balaju,2053.5,35000000,0,0,South East,0
,Kathmandu,Manamaiju,1197.875,17000000,0,0,West,0
,Kathmandu,Balaju,1197.875,24500000,0,0,East,0
,Kathmandu,Budhanilkantha,1711.25,25000,2,1,East,0
1, Kathmandu,Bhangal ,1369,14700000,,,,0
,Lalitpur,Sanepa,1400,115000,0,0,North East,0
2.5, Kathmandu,Mandikatar,1369,26500000,1,1,,0
,Kathmandu,Makalbari,855.625,13500000,0,0,North,0
,Kathmandu,Budhanilkantha,8556.25,200000,5,4,East,0
3,Lalitpur,Tikathali,1711.25,26500000,3,3,South East,0
2.5, Kathmandu,Hepali Height,1403.225,34000000,5,2,,0
,Kathmandu,Sinamangal,5476,150000,0,0,South East,0
, Kathmandu,Grande Hospital,1403.225,32800000,6,5,,0
,Lalitpur,Tikathali,1283.4375,14500000,0,0,East,0
2.5, Kathmandu,Basundhara,1403.225,28500000,7,4,,0
,Lalitpur,Dhobighat,1369,29500000,5,3,East,0
,Lalitpur,Dhobighat,900,40000,2,2,South,0
,Kathmandu,Manamaiju,1026.75,16000000,0,0,East,0
,Kathmandu,Naxal,6845,160,0,0,North East,0
,Kathmandu,Makalbari,1026.75,17500000,0,0,West,0
,Kathmandu,Budhanilkantha,4107,200000,5,4,South,0
4,Kathmandu,Balaju,1411.78125,45000000,12,4,North,0
,Lalitpur,Dholahiti,16428,300000,8,6,West,0
,Kathmandu,Naxal,3422.5,500000,22,4,East,0
2,Kathmandu,Syuchatar,1925.15625,25500000,4,2,West,0
3,Kathmandu,Budhanilkantha,1711.25,37500000,5,5,South East,0
1, Kathmandu,Panchetar,1437.45,15500000,2,1,,0
,Bhaktapur,Bhaktapur,1540.125,19000000,0,0,North West,0
,Lalitpur,Civil Homes,2053.5,65000,4,3,East,0
,Lalitpur,Hattiban,2139.0625,26000000,0,0,West,0
,Lalitpur,Nakhipot,2738,65000000,5,5,East,0
,Kathmandu,Gokarneshwor,200,750000,0,0,North,0
2.5, Kathmandu,High Vision Colony,1197.875,26000000,,,,0
,Bhaktapur,Kausaltar,1197.875,12950000,0,0,West,0
,Kathmandu,Dallu,855.625,13500000,0,0,West,0
,Lalitpur,Nakhipot,1112.3125,22200000,4,5,South West,0
,Kathmandu,Samakhusi,250,550000,0,0,East,0
,Kathmandu,Samakhusi,1000,650000,0,0,South,0
,Kathmandu,Maharajgunj,27380,600000,5,4,East,0
3,Kathmandu,Swayambhu,2395.75,35000000,9,4,East,0
2,Kathmandu,Dakshinkali,1796.8125,30000000,0,0,East,0
2,Lalitpur,Nakhipot,1197.875,15100000,0,0,North,0
,Lalitpur,Civil Homes,1711.25,60000,2,2,East,0
,Kathmandu,Chundevi,6845,155000000,6,6,West,0
4,Lalitpur,Civil Homes,1711.25,60000000,5,4,East,0
,Lalitpur,Chapagaun,1369,8500000,0,0,East,0
,Lalitpur,Lamatar,1369,9700000,0,0,East,0
,Kathmandu,Baneshwor,20,560000,0,0,North,0
3,Kathmandu,Samakhusi,1133.703125,25500000,5,2,North,0
,Lalitpur,Lubhu,1026.75,13700000,0,0,West,0
,Kathmandu,Syuchatar,1689.859375,19500000,0,0,East,0
,Kathmandu,Samakhusi,1369,750000,0,0,East,0
, Kathmandu,Maitidevi,1197.875,46500000,8,7,,0
,Kathmandu,Swayambhu,1500,20000000,3,3,East,0
,Kathmandu,Swayambhu,3080.25,27000000,0,0,East,0
,Kathmandu,Budhanilkantha,2139.0625,55000000,5,4,North East,0
2.5,Kathmandu,Dhapasi,1369,26000000,0,0,East,0
3,Kathmandu,Swayambhu,3422.5,35000,3,2,East,0
,Kathmandu,Dhapasi,1540.125,23000000,0,0,West,0
,Lalitpur,Lubhu,1540.125,22000000,0,0,North East,0
,Kathmandu,Gokarneshwor,1369,35000000,0,0,East,0
, Kathmandu,Bafal,1197.875,20300000,,,,0
,Kathmandu,Boudha,2481.3125,45000000,0,2,East,0
,Kathmandu,Swayambhu,2738,49800000,0,0,East,0
2,Kathmandu,Chovar,2395.75,60000,3,4,East,0
4,Lalitpur,Dhapakhel,3422.5,50000000,6,5,South West,0
2.5, Kathmandu,Dhapasi,1540.125,32000000,6,1,,0
,Kathmandu,Kapan,200,850000,0,0,North,0
3,Kathmandu,Sukedhara,1647.078125,26000000,5,4,East,0
,Kathmandu,Nepaltar,300,400000,0,0,East,0
,Lalitpur,Patan,1500,3500000,0,0,East,0
5,Kathmandu,Boudha,1026.75,150000,0,0,South West,0
2.5, Kathmandu,Samakhusi,1369,30000000,6,6,East,0
,Lalitpur,Dhapakhel,1026.75,60000,4,3,East,0
3,Kathmandu,Jorpati,1026.75,23500000,0,0,North East,0
2,Lalitpur,Harisiddhi,1882.375,25000000,3,3,South West,0
2,Lalitpur,Harisiddhi,1882.375,25000000,3,3,South West,0
,Kathmandu,Naya Bazar,150,300000,0,0,East,0
,Kathmandu,Sukedhara,1454.5625,27000000,0,0,East,0
,Lalitpur,Pulchowk,4107,300000,8,5,East,0
,Kathmandu,Kapan,150,450000,0,0,East,0
,Kathmandu,Goldhunga,1026.75,18500000,0,0,West,0
,Kathmandu,Basbari,3422.5,200000,6,4,East,0
3,Kathmandu,Basbari,1711.25,150000,3,4,South,0
2,Kathmandu,Maharajgunj,8214,275000,0,0,East,0
,Kathmandu,Basantapur,1112.3125,16000000,7,2,East,0
,Kathmandu,Newroad,320,65000,0,1,South,0
,Kathmandu,Sankhamul,342.25,760000,0,0,North West,0
,Kathmandu,Sukedhara,500,9000,0,0,North,0
,Kathmandu,Maharajgunj,3764.75,100000,5,4,East,0
,Kathmandu,Sankhamul,800,19500,0,0,East,0
,Bhaktapur,Bhaktapur,27380,600000,0,0,East,0
,Kathmandu,Sankhamul,300,2500000,0,0,North,0
,Lalitpur,Dhapakhel,1197.875,13000000,0,0,East,0
,Kathmandu,Jorpati,1540.125,35000000,0,0,West,0
,Kathmandu,Buddhanagar,1112.3125,31500000,0,0,East,0
,Kathmandu,Newroad,310,20000,0,1,South,0
2,Kathmandu,Kageshwari Manohara,2053.5,25000000,3,2,East,0
,Bhaktapur,Radhe Radhe,21356.4,375000,0,0,East,0
3,Lalitpur,Chakupat,342.25,8700000,0,2,South,1
5,Kathmandu,Sunar gaun,1711.25,27000000,13,3.5,North,2
3, Kathmandu,Tarkeshwor,1403.225,12000000,,,West,3
1,Kathmandu,Tarkeshwor,1518.73,12000000,1,1,West,3
,Kathmandu,Sitapaila,1369,10500000,0,0,West,3
3,Bhaktapur,Dunchepakha,1060.975,15000000,5,3,North,3
2,Kathmandu,Thankot,1369,11000000,10,3,East,3
,Kathmandu,Matatirtha,1369,14500000,0,0,West,3
5,Lalitpur,Kupondole,3080.25,400000,0,5,North,3.281
1, Kathmandu,Kalopool,1437.45,30000000,2,2,South,4
, Lalitpur,Dhapakhel,3080.25,27500000,,,North East,4
1.5,Lalitpur,Imadol,1796.8125,12000000,4,1,North East,4
3, Bhaktapur,Kamerotar,1095.2,27500000,6,,West,4
2.5, Kathmandu,Tinthana,3080.25,3000000,4,2,East,4
3, Kathmandu,Satungal,752.95,15000000,3,3,,4
2,Kathmandu,Jorpati,1197.875,20000000,5,2,East,4
1.5,Lalitpur,Imadol,1796.8125,12000000,4,1,North East,4
3,Kathmandu,Makalbari,1026.75,19500000,7,3,North East,4
2,Bhaktapur,Dadikot,1796.8125,15000000,2,2,West,4
2,Lalitpur,Imadol,1069.53,15000000,4,4,South,4
1,Kathmandu,Kadaghari,855.625,7500000,3,1,North,4
2.5, Kathmandu,Sitapaila,787.175,12000000,3,,North East,4
2.5, Kathmandu,New Buspark,2053.5,40000000,6,4,West,4
1, Kathmandu,Kavresthali,1026.75,9000000,2,,North,4
,Kathmandu,Matatirtha,2909.125,15000000,3,3,West,4
,Lalitpur,Imadol,1048.140625,15000000,0,4,South,4
,Kathmandu,Balaju,1518.734375,15500000,18,9,South West,4
2.5, Kathmandu,Kadaghari,1026.75,17300000,1,1,South,5
2.5, Lalitpur,Bhaisepati,1369,19000000,4,3,South,5
2,Kathmandu,Gaushala,1026.75,11000000,0,0,East,5
1, Kathmandu,Dhapasi,752.95,15500000,4,2,South,5
6,Kathmandu,Ason,342.25,38000000,4,4,East,5
3,Kathmandu,Basundhara,1026.75,30000000,6,3,South,5
3.5, Lalitpur,Kumaripati,2053.5,45000000,7,4,South,5
4.5, Kathmandu,Nardevi,376.475,18000000,7,,East,5
2.5, Kathmandu,Chabahil,1779.7,21500000,5,2,South East,5
5,Lalitpur,Banglamukhi,1176.48,14000000,3,2,West,5
2.5, Kathmandu,Thankot,1026.75,10500000,,,,5
4, Kathmandu,Koteshwor,1369,41500000,5,5,South,6
2, Kathmandu,Ghattekulo,1403.225,25500000,7,4,,6
2,Kathmandu,Ganesh chowk,1540.12,15000000,4,2,East,6
2, Kathmandu,Kapan,1026.75,12500000,2,,,6
6, Kathmandu,Old Baneshwor,1095.2,28000000,22,8,East,6
2, Kathmandu,Chandragiri,1060.975,20000000,,,South,6
,Kathmandu,Balaju,1026.75,9300000,0,0,West,6
3,Lalitpur,Satdobato,1369,21000000,8,3,East,6
3.5,Kathmandu,Dhapasi,3162.39,58000000,5,5,North,6
2.5,Kathmandu,Godawari,1540.125,30000000,5,5,East,6
2.5,Kathmandu,Chabahil,1369,20000000,6,2,East,6
2.5,Kathmandu,Kalanki,1200,19499988,3,3,West,6
2, Kathmandu,Tinthana,1711.25,40000000,5,2,North,6
3.5,Kathmandu,Thankot,1000,14500000,5,3,North West,6
3,Bhaktapur,Doleswor,700,16000000,6,3,East,6
2.5,Kathmandu,Samakhusi,2502.7,52000000,6,,,7
3,Kathmandu,Thankot,2053.5,16000,2,1,South,7
2.5,Kathmandu,Tahachal,2139.06,52500000,1,1,East,8
1,Bhaktapur,Bhaktapur,1369,8000000,3,1,East,8
2.5,Bhaktapur,Ganesh chowk,1437.45,18500000,1,1,East,8
2,Kathmandu,Tahachal,1304.82,15500000,1,1,East,8
1,Kathmandu,Townplanning,855.625,12500000,2,1,South,8
3,Kathmandu,Baneshwor,1540.125,33000000,0,0,South,8
2.5, Kathmandu,Maitidevi,1026.75,30000000,5,3,South,8
2.5,Lalitpur,Bagdol,1711.25,24500000,6,4,,8
3,Kathmandu,Jorpati,941.1875,13000000,5,2,North East,8
3.5, Kathmandu,Bouddha,1369,25000000,4,2,South East,8
4,Kathmandu,Kalanki,1369,33500000,8,5,East,8
2.5,Kathmandu,Chhauni,1582.90625,27000000,5,2,South East,8
2, Kathmandu,Tahachal,1129.425,15500000,1,,East,8
3,Lalitpur,Satdobato,7358.375,79550000,5,4,South,8
1.5, Lalitpur,Sunakothi,1437.45,12500000,3,2,,8
3,Kathmandu,Kapan,1369,22000000,3,3,East,8
,Kathmandu,Kavresthali,1026.75,8500000,0,0,West,8
3,Kathmandu,Boudha,1026.75,19000000,6,3,East,8
2.5, Kathmandu,Srijana Chowk,1129.425,16000000,5,3,East,8
3,Kathmandu,Joranku,1026.75,15900000,5,3,West,8
3,Kathmandu,Hattigauda,855.625,15000000,4,2,South,8
2.5, Kathmandu,Tripureshwor,1711.25,32000000,,3,North,8
3.5, Kathmandu,Maijubahal,2121.95,35000000,5,3,North,8
3,Kathmandu,Ranibari,7101.6875,22000000,9,4,South East,8
2.5, Kathmandu,Chabahil,2121.95,35000000,4,2,West,8
3.5, Kathmandu,Teku,2772.225,80000000,,,East,8
4, Kathmandu,Maitidevi,1026.75,36700000,4,4,North East,8
1, Kathmandu,Phutung,1026.75,10000000,2,1,East,8
2.5, Bhaktapur,Nalinchwok,1026.75,11000000,3,,North,8
2.5, Lalitpur,Taukhel,1437.45,30000000,,,North,8
3,Kathmandu,Mulpani,1369,14999,2,1,West,8
3,Kathmandu,Kapan,2053.5,29500000,6,3,East,8
2,Kathmandu,Sitapaila,1200,16000000,3,2,North,8
2.5,Lalitpur,Tikathali,1026.75,18500000,4,2,South,8
4,Kathmandu,Gairigaun,3080.25,80000000,16,10,South,8
2,Kathmandu,Kadaghari,1112.3125,13000000,6,2,West,8
3,Kathmandu,Kumarigal,1026.75,23000000,5,4,West,8
,Kathmandu,Kapan,855.625,12500000,4,3,,8
,Kathmandu,Jorpati,1369,20000000,0,0,East,8.5
2.5, Kathmandu,Chandragiri,1026.75,17500000,,,,9
3.5, Lalitpur,Kupandole,5886.7,80000000,9,4,South West,9
4,Kathmandu,Gongabu,855.625,31000000,9,9,North,9
2.5, Lalitpur,Imadol,1026.75,27500000,5,4,,9
3,Kathmandu,Battisputali,1133.703125,18000000,0,3,East,9
,Kathmandu,Kalimati,598.9375,25000000,0,0,South,9
,Kathmandu,Kalimati,598.9375,25000000,0,0,South,9
4, Kathmandu,Shantinagar,1813.925,49800000,11,4,,9
4, Kathmandu,Nepaltar,1026.75,19600000,11,5,East,9
,Bhaktapur,Sallaghari,855.625,15000000,0,0,West,9
1.5, Kathmandu,Bhangal ,1060.975,17800000,,,,9
3, Kathmandu,Padma Colony,1711.25,20000000,3,2,North East,9
4.5, Kathmandu,Ghattekulo,1095.2,37500000,,,South West,9
3.5,Kathmandu,Tarakeswor,1026.75,16200000,9,,North East,9
4.25,Kathmandu,Shantinagar,1967.93,49800000,7,4,South,9
4.5,Lalitpur,Patan durbar square,342.25,40000000,5,2,North East,9
2.5,Kathmandu,Greenland,1026.75,21000000,5,4,South East,9
2.5, Kathmandu,Bhangal ,1095.2,28500000,4,3,East,9
4, Kathmandu,Ratopool,5476,138000000,,,West,9
4, Kathmandu,Nepaltar,1026.75,16200000,9,6,East,9
1, Kathmandu,Goldhunga,1026.75,12000000,2,1,East,10
,Kathmandu,Naikap,941.1875,9500000,0,0,East,10
,Lalitpur,Tikathali,1540.125,23000000,0,0,West,10
3,Lalitpur,Tikathali,1369,35000000,6,5,North East,10
,Bhaktapur,Sudal,1369,11500000,0,0,East,10
3, Kathmandu,Dhobichaur,787.175,24000000,,3,East,10
3,Lalitpur,Tikathali,1026.75,16500000,6,3,South,10
,Lalitpur,Tikathali,1112.3125,19500000,0,0,North,10
2.5, Kathmandu,Nepaltar,1026.75,21000000,,,,10
1, Kathmandu,Tahachal,752.95,13500000,,,East,10
2,Kathmandu,Mid Baneshwor,2395.75,50000000,7,4,South East,10
3,Kathmandu,Chabahil,877.015625,11400000,0,0,South,10
3,Lalitpur,Jhamsikhel,2053.5,35000,2,2,East,10
3,Kathmandu,Bafal,1369,31000000,7,3,South,10
3,Lalitpur,Imadol,941.1875,13500000,3,9,North East,10
1, Kathmandu,Jarankhu,1026.75,12000000,,,,10
1, Kathmandu,Thankot,1026.75,14500000,2,,,10
2, Bhaktapur,Bhaktapur,1026.75,20000000,2,2,,10
2,Kathmandu,Bafal,1026.75,23000000,6,2,South,10
4,Lalitpur,Imadol,2738,30000,3,2,North East,10
2.5,Kathmandu,Nagarjun,1240.65625,22000000,7,4,South,10
2.5, Kathmandu,Chandragiri,1026.75,19000000,,,,10
1.5,Lalitpur,Imadol,1026.75,14000000,0,0,South,10
3,Lalitpur,Imadol,1090.921875,19000000,4,3,South East,10
4,Lalitpur,Imadol,1369,16000000,16,4,East,10
2.5, Kathmandu,Buddha Chowk,1026.75,24000000,,,,10
1.5,Lalitpur,Imadol,1090.921875,12700000,2,1,North,10
