Floors,City,Address,Land,Price,Bedroom,Bathroom,Parking,Face,Road
2.5,Kathmandu,Makalbari,1369.0,28000000.0,5.0,4.0,,South,10.0
3.5,Kathmandu,Syuchatar,1540.125,30000000.0,1.0,5.0,,East,10.0
3.0,Kathmandu,Kapan,1369.0,29000000.0,1.0,1.0,,South East,10.0
3.0,Bhaktapur,Subarnachowk,1500.0,29500000.0,8.0,3.0,,South,10.0
3.5,Kathmandu,Goldhunga,1500.0,29500000.0,8.0,4.0,,West,10.0
2.5,Kathmandu,Bansbari,1454.56,29000000.0,6.0,4.0,,West,10.0
3.0,Kathmandu,Tahachal,1540.125,39500000.0,1.0,1.0,,East,10.0
2.5,Lalitpur,Sanepa,1026.75,41000000.0,6.0,5.0,,South East,10.0
3.5,Kathmandu,Koteshwor,1026.75,41500000.0,1.0,4.0,,East,10.0
2.0,Kathmandu,Nayabasti,1711.25,23500000.0,1.0,1.0,,South,10.0
2.5,Kathmandu,Manamaiju,1197.87,16000000.0,5.0,2.0,,East,10.0
2.5,Lalitpur,Imadol,1026.75,17000000.0,5.0,4.0,,East,10.0
1.0,Kathmandu,Kadaghari,1026.75,17200000.0,5.0,1.0,,South,10.0
2.0,Bhaktapur,Bhaktapur,1369.0,17000000.0,4.0,2.0,,East,10.0
1.0,Kathmandu,Thankot,3080.25,18500000.0,4.0,1.0,,West,10.0
1.0,Kathmandu,Kapan,1369.0,19000000.0,2.0,1.0,,West,10.0
2.5,Kathmandu,Chunikhel,898.4,19500000.0,4.0,3.0,,South West,10.0
2.5,Kathmandu,Maharajgunj,3764.75,105000000.0,4.0,4.0,,East,10.0
3.5,Lalitpur,Gwarko,2909.125,60000000.0,12.0,6.0,,East,10.0
3.5,Bhaktapur,Changunarayan,1283.43,21000000.0,8.0,3.0,,East,10.0
2.5,Kathmandu,Dhapasi,2395.75,50000000.0,4.0,4.0,,South,10.0
4.0,Kathmandu,Balaju,1582.9,50000000.0,8.0,8.0,,South,10.0
2.5,Kathmandu,Itakhel,1711.25,22000000.0,6.0,3.0,,East,10.0
2.5,Kathmandu,Maharajgunj,2738.0,48000000.0,7.0,5.0,,South,10.0
2.5,Kathmandu,Samakhusi,1711.25,45000000.0,7.0,4.0,,East,10.0
2.5,Kathmandu,Kapan,1197.875,23500000.0,5.0,3.0,,South East,10.0
3.0,Bhaktapur,Suryabinayak,1026.75,20200000.0,7.0,4.0,,East,10.0
2.5,Kathmandu,Sitapaila,1347.6,17500000.0,3.0,3.0,,South West,10.0
3.5,Kathmandu,Panga,1026.75,13500000.0,4.0,3.0,,South,10.0
3.0,Kathmandu,Tinthana,2762.29975,50000000.0,7.0,3.0,3+,North West,10.0
2.5,Lalitpur,Hattiban,1026.75,18000000.0,4.0,3.0,3+,North East,10.0
2.5,Lalitpur,Imadol,1026.75,21000000.0,6.0,3.0,3+,South East,10.0
2.5,Lalitpur,Imadol,1047.285,24000000.0,4.0,4.0,3+,West,10.0
3.5,Bhaktapur,Lokanthali,1197.875,27500000.0,8.0,4.0,3+,West,10.0
3.5,Kathmandu,Naya Bazar,2053.5,95000000.0,8.0,3.0,3+,South West,10.0
3.5,Lalitpur,Near Mediciti Hospital,3807.53125,62500000.0,8.0,6.0,3+,,10.0
2.5,Lalitpur,Dhunge Sangu,1283.4375,27500000.0,7.0,5.0,3+,North East,10.0
2.5,Kathmandu,Padamshal,1882.375,26000000.0,6.0,3.0,3+,South East,10.0
2.5,Bhaktapur,Sanothimi,5133.75,70000000.0,7.0,4.0,3+,East,10.0
2.5,Kathmandu,Sundar Basti Bhangal,1163.65,26000000.0,5.0,3.0,3+,South East,10.0
3.5,Kathmandu,Boudha,727.28,17000000.0,7.0,4.0,,South East,10.0
2.5,Kathmandu,Kapan,855.62,14500000.0,4.0,3.0,,East,10.0
2.5,Lalitpur,Imadol,1090.92,19700000.0,4.0,4.0,,South East,10.0
2.5,Kathmandu,Danchhi,1026.75,16000000.0,4.0,3.0,,South East,10.0
2.5,Kathmandu,Ratomate,941.1875,13000000.0,4.0,3.0,3+,,10.0
2.5,Kathmandu,Chandragiri,1454.5625,16500000.0,4.0,3.0,3+,East,10.0
2.5,Kathmandu,Kapan,1026.75,18000000.0,5.0,3.0,,West,10.0
2.5,Lalitpur,"Boje Pokhari, Imadol",1283.4375,28000000.0,7.0,3.0,3+,East,10.0
2.5,Kathmandu,Budhanilkantha,2310.1875,67500000.0,5.0,3.0,3+,North East,10.0
3.0,Kathmandu,Purano naikap,1197.87,20000000.0,6.0,,,South,10.0
3.5,Bhaktapur,Sano thimi,1240.65,19000000.0,10.0,4.0,,East,10.0
2.5,Lalitpur,"Boje Pokhari, Imadol",1454.5625,25000000.0,6.0,2.0,3+,South,10.0
2.5,Kathmandu,Bhangal,1026.75,21000000.0,5.0,2.0,3+,East,10.0
4.5,Kathmandu,Basundhara,1454.5625,42500000.0,8.0,4.0,3+,North East,10.0
2.5,Kathmandu,Boudha,1754.03125,35000000.0,5.0,4.0,3+,West,10.0
4.0,Kathmandu,Baluwatar,2395.75,41000000.0,11.0,4.0,3+,South East,10.0
4.0,Kathmandu,Kirtipur,1197.875,23500000.0,10.0,4.0,3+,East,11.0
3.5,Kathmandu,Ranjit colony,1925.15,45000000.0,7.0,9.0,,East,11.0
3.5,Kathmandu,Pepsicola,1369.0,32500000.0,4.0,3.0,3+,North,11.0
4.0,Kathmandu,Patitar,3101.640625,67500000.0,11.0,4.0,3+,North East,12.0
2.5,Kathmandu,Pepsicola,1454.5625,25500000.0,6.0,4.0,3+,West,12.0
2.5,Kathmandu,Bafal,3016.07,58000000.0,6.0,5.0,,East,12.0
2.5,Lalitpur,Dhapaheight,1518.73,20500000.0,4.0,3.0,,,12.0
1.0,Lalitpur,Sanagaun,1091.7775,16000000.0,2.0,1.0,3+,North,12.0
2.5,Kathmandu,Balwakhani,1440.0,27000000.0,3.0,3.0,,East,12.0
2.5,Kathmandu,Kapan,1732.640625,30000000.0,7.0,5.0,3+,South East,12.0
3.5,Kathmandu,Kalimati,2053.5,68000000.0,10.0,5.0,3+,South,12.0
3.0,Kathmandu,Kalanki,1347.609375,45000000.0,6.0,4.0,3+,North East,12.0
2.5,Lalitpur,Imadol,1026.75,24200000.0,5.0,3.0,3+,East,12.0
2.5,Kathmandu,Rudreshwor,4107.0,50000000.0,7.0,5.0,,East,12.0
2.5,Lalitpur,Imadol,1026.75,21500000.0,7.0,4.0,3+,South,12.0
2.5,Lalitpur,Khumaltar,1112.31,21500000.0,3.0,3.0,,South,12.0
2.5,Kathmandu,Dahachowk,1197.87,21500000.0,7.0,4.0,,East,12.0
2.5,Kathmandu,Pandhara Chowk,1403.225,24500000.0,4.0,4.0,3+,North,12.0
2.5,Kathmandu,Chapali,2738.0,55000000.0,8.0,4.0,,East,12.0
2.5,Lalitpur,Siddhipur Height,1026.75,22500000.0,5.0,4.0,3+,South West,12.0
3.0,Kathmandu,Dhumbarahi,2738.0,60000000.0,8.0,5.0,,East,12.0
2.0,Lalitpur,Jharuwarashi,1647.07,13000000.0,3.0,2.0,,West,12.0
1.0,Kathmandu,Kapan,1026.75,14000000.0,2.0,1.0,,,12.0
3.0,Kathmandu,Kapan,1197.875,14000000.0,2.0,2.0,,East,12.0
3.0,Kathmandu,Dhapasi,10952.0,150000000.0,4.0,4.0,,South,12.0
2.5,Lalitpur,Imadol,1026.75,16000000.0,5.0,3.0,,East,12.0
2.5,Kathmandu,Hattigauda,6845.0,100000000.0,6.0,4.0,,East,12.0
2.0,Kathmandu,Khusibu,4107.0,96000000.0,3.0,3.0,,South,12.0
,Lalitpur,Dhapaheight,1369.0,17000000.0,,,,,12.0
2.5,Lalitpur,Dhapakhel,898.4,13500000.0,4.0,3.0,,South,12.0
2.0,Kathmandu,Balaju,1711.25,17500000.0,4.0,2.0,,East,12.0
3.0,Kathmandu,Budhanilkantha,3600.0,76000000.0,2.0,1.0,,West,12.0
2.5,Kathmandu,Thulo bharyang,855.62,19500000.0,7.0,3.0,,North East,12.0
2.5,Kathmandu,Thulo bharyang,855.62,19900000.0,5.0,3.0,,South West,12.0
,Kathmandu,Ason,171.12,19000000.0,,,,,12.0
2.5,Lalitpur,Sita Pakha,1026.75,25000000.0,4.0,4.0,3+,East,12.0
1.0,Kathmandu,Kadaghari,1240.65,19500000.0,,,,North,12.0
3.5,Lalitpur,Imadol,1411.78125,20000000.0,7.0,3.0,3+,West,12.0
2.5,Lalitpur,Sanagaun,1197.87,19900000.0,8.0,4.0,,East,12.0
2.0,Kathmandu,Sukedhara,1369.0,49500000.0,1.0,3.0,,North,12.0
2.5,Kathmandu,Sukedhara,2395.75,45000000.0,5.0,3.0,,East,12.0
2.5,Kathmandu,Guheshwori Planning,1283.4375,28000000.0,8.0,4.0,3+,West,12.0
5.0,Kathmandu,Chapali,1454.56,25000000.0,4.0,4.0,,North West,12.0
2.5,Kathmandu,Kapan,1540.125,25000000.0,7.0,5.0,,North East,12.0
2.5,Kathmandu,Pasikot,1540.12,31000000.0,5.0,2.0,,South East,12.0
2.5,Kathmandu,Phutung,1561.51,25000000.0,5.0,4.0,,East,12.0
,Kathmandu,Satungal,1711.25,25000000.0,,,,,12.0
3.5,Kathmandu,Nayabasti,1839.59,35500000.0,7.0,5.0,,East,12.0
3.0,Kathmandu,Gongabu,2395.75,25000000.0,8.0,6.0,,,12.0
3.5,Kathmandu,Sukedhara,1946.54,35000000.0,9.0,4.0,,North East,12.0
4.0,Kathmandu,Bhimsenthan,1369.0,37500000.0,8.0,5.0,,East,12.0
3.5,Kathmandu,Gongabu,1411.78,35000000.0,8.0,5.0,,South,12.0
2.5,Kathamndu,Kapan,1711.25,26000000.0,6.0,4.0,,,12.0
2.5,Lalitpur,Tikathali,1754.03,26000000.0,5.0,3.0,,West,12.0
2.5,Kathmandu,Sitapaila,1283.43,27500000.0,4.0,4.0,,North East,12.0
2.5,Kathmandu,Dhalmal Pul,1200.0,27500000.0,7.0,3.0,,South West,12.0
3.5,Lalitpur,Chokhel,1711.25,33500000.0,8.0,4.0,,East,12.0
3.5,Lalitpur,Chokhel,1711.25,33500000.0,8.0,4.0,,East,12.0
2.5,Kathmandu,Baluwatar,1437.45,33000000.0,3.0,4.0,,North,12.0
2.5,Kathmandu,Bhangal,1369.0,27000000.0,5.0,4.0,,South East,12.0
2.5,Kathmandu,Hattigauda,1369.0,28000000.0,5.0,3.0,,East,12.0
2.5,Kathmandu,Mandikataar,1112.31,22000000.0,5.0,5.0,,East,12.0
2.5,Lalitpur,Imadol,1112.31,25000000.0,2.0,3.0,,East,12.0
2.5,Kathmandu,Jorpati,1540.125,28500000.0,5.0,2.0,,South,12.0
2.5,Kathmandu,Gothatar,1069.53125,24000000.0,6.0,3.0,3+,East,12.0
2.5,Kathmandu,Chapali,1540.125,27000000.0,5.0,4.0,,West,12.0
3.5,Kathmandu,Dhumbarahi,2395.75,45000000.0,8.0,5.0,,East,12.0
2.5,Kathmandu,Man B Marga,1197.875,23000000.0,3.0,4.0,,East,12.0
3.0,Kathmandu,Baniyatar,1197.875,23750000.0,6.0,5.0,3+,North West,12.0
2.5,Lalitpur,Tikathali,1197.875,23000000.0,6.0,4.0,,South East,12.0
2.5,Bhaktapur,Sipadol,1497.34,23000000.0,5.0,3.0,,South West,12.0
12.0,Lalitpur,Balkumari,1250.0,18000000.0,3.0,2.0,3+,East,12.0
2.0,Kathmandu,Hattigauda,1818.2,37500000.0,5.0,2.0,,East,12.0
2.5,Kathmandu,Samakhusi,1369.0,23500000.0,5.0,4.0,,,12.0
2.5,Lalitpur,Harisiddhi,2738.0,40000000.0,8.0,5.0,,East,12.0
3.5,Kathmandu,Gongabu,1197.87,23750000.0,6.0,5.0,,East,12.0
3.5,Kathmandu,Hanumanghat,1863.0,40000000.0,1.0,4.0,,South,12.0
3.0,Kathmandu,Besi Gaun,1369.0,30000000.0,6.0,3.0,,East,12.0
2.5,Kathmandu,Bafal,1026.75,24500000.0,4.0,3.0,,East,12.0
2.5,Lalitpur,Sanepa,1540.12,30000000.0,6.0,5.0,,East,12.0
3.0,Kathmandu,Tinthana,0.0,25000000.0,4.0,4.0,,South,12.0
4.0,Kathmandu,Maharajgunj,1711.25,38000000.0,8.0,4.0,,West,12.0
2.5,Lalitpur,Tikathali,1197.875,26000000.0,7.0,3.0,3+,East,12.0
2.5,Kathmandu,Sukedhara,2395.75,70000000.0,4.0,3.0,,East,12.0
2.5,Lalitpur,Hattiban,1882.375,29000000.0,4.0,4.0,,North,12.0
3.5,Bhaktapur,Changunarayan,4363.68,15000000.0,15.0,4.0,,South East,12.0
2.5,Kathmandu,Kalanki,1197.87,,4.0,3.0,,North West,12.0
,Kathmandu,Kapan,1454.56,27000000.0,,,,West,12.0
2.5,Lalitpur,Dhapakhel,1197.87,25000000.0,4.0,3.0,,North East,12.0
2.5,Kathmandu,Dahachowk,3593.62,28000000.0,5.0,3.0,,East,12.0
2.5,Kathmandu,Sattalle,1796.81,25000000.0,4.0,2.0,,North,12.0
4.5,Bhaktapur,Sallaghari,1026.75,23500000.0,13.0,7.0,,East,12.0
2.5,Lalitpur,Medicity hospital,3422.5,45000000.0,7.0,6.0,,South West,12.0
3.0,Kathmandu,Kapan,1454.56,29500000.0,6.0,5.0,,West,12.0
2.5,Kathmandu,Bhangal,1112.31,21000000.0,6.0,6.0,,West,12.0
1.0,Lalitpur,Sital tole,1112.31,16000000.0,2.0,,,North East,12.0
2.5,Kathmandu,Balaju,3422.5,55000000.0,7.0,2.0,,South,12.0
5.5,Kathmandu,Sundhara,2524.09,,36.0,13.0,,West,12.0
5.5,Kathmandu,New Buspark,1112.3125,36000000.0,23.0,15.0,3+,South,12.0
2.5,Lalitpur,Peace point school,2951.9,28000000.0,6.0,4.0,,South,12.0
3.0,Bhaktapur,Suryabinayak,1026.75,25500000.0,7.0,,,West,12.0
2.5,Kathmandu,Mid-Baneshwor,3593.625,85000000.0,5.0,5.0,3+,North,12.0
1.5,Lalitpur,Tikathali,855.62,11500000.0,3.0,1.0,,East,12.0
1.0,Bhaktapur,Suryabinayak,1026.75,12000000.0,2.0,1.0,,East,12.0
3.0,Lalitpur,Tikathali,3080.25,,7.0,,,North East,12.0
3.0,Kathmandu,Narayantar,1026.75,19000000.0,6.0,3.0,,South East,12.0
2.5,Kathmandu,Kapan,1369.0,24000000.0,4.0,,,East,12.0
2.5,Bhaktapur,Madhyapur Thimi,1026.75,22000000.0,4.0,3.0,,East,12.0
1.0,Kathmandu,Kageshwori Manahara,1369.0,15000000.0,2.0,1.0,,West,12.0
2.5,Lalitpur,Hattiban,2224.62,,5.0,3.0,,South East,12.0
1.0,Lalitpur,Tikathali,1026.75,12200000.0,2.0,1.0,,South,12.0
2.0,Kathmandu,Gokarna,1369.0,13500000.0,4.0,2.0,,East,12.0
,Lalitpur,Changathali,1197.87,24000000.0,6.0,4.0,,South,12.0
,Lalitpur,,1219.26,28500000.0,10.0,5.0,,East,12.0
2.5,Kathmandu,Naikap,1369.0,26000000.0,3.0,3.0,,East,13.0
2.5,Lalitpur,Nayabasti,1197.87,26000000.0,5.0,4.0,,North East,13.0
2.5,Kathmandu,Grande Villa,1112.31,26000000.0,3.0,4.0,,West,13.0
3.0,Kathmandu,Budhanilkantha,1604.29,37500000.0,6.0,,,East,13.0
,Kathmandu,Mahaboudha,1668.0,55000000.0,,,,North,13.0
,,,1625.68,29500000.0,5.0,5.0,,South East,13.0
2.5,Kathmandu,Grande Villa,1689.85,22000000.0,5.0,4.0,,North West,13.0
2.5,Lalitpur,Sanepa,1711.25,63500000.0,5.0,6.0,,North East,13.0
3.5,Kathmandu,Naya naikap,1711.25,35000000.0,6.0,5.0,,South East,13.0
3.5,Kathmandu,Dadhikot,1625.68,33000000.0,8.0,,,South West,13.0
1.0,Lalitpur,Shree narayan school,1625.68,14000000.0,2.0,1.0,,North,13.0
2.5,Kathmandu,Sitapaila,1454.56,25300000.0,5.0,5.0,,East,13.0
1.0,Kathmandu,Kharibot,1026.75,12500000.0,2.0,1.0,,South,13.0
3.5,Kathmandu,Basundhara,1369.0,25000000.0,6.0,4.0,,South East,13.0
3.5,Kathmandu,Tarakeswor,1711.25,,5.0,,,South West,13.0
3.5,Kathmandu,Mandikatar,2053.5,40000000.0,5.0,,,South,13.0
3.5,Bhaktapur,Gatthaghar,2053.5,37500000.0,9.0,6.0,,North,13.0
2.5,Kathmandu,Bhangal,1390.39,23800000.0,5.0,5.0,,East,13.0
3.0,Kathmandu,Budhanilkantha,2053.5,,14.0,,,East,13.0
2.5,Lalitpur,Imadol,1048.14,24000000.0,4.0,3.0,,East,13.0
2.5,Lalitpur,Imadol,1048.14,24000000.0,4.0,3.0,,East,13.0
3.5,Kathmandu,Kapan,1197.875,24000000.0,7.0,4.0,,West,13.0
2.5,Kathmandu,Budhanilkantha,2053.5,32000000.0,5.0,4.0,,South,13.0
2.5,Kathmandu,Budhanilkantha,2053.5,41000000.0,5.0,5.0,,South,13.0
3.0,Lalitpur,Imadol,1048.14,24500000.0,4.0,5.0,,East,13.0
2.5,Lalitpur,Sunakothi,1711.25,22500000.0,3.0,3.0,,South East,13.0
2.5,Kathmandu,Imadol,1197.87,29500000.0,5.0,3.0,,East,13.0
2.5,Lalitpur,Imadol,1197.87,28500000.0,6.0,3.0,,South,13.0
3.0,Bhaktapur,Gathaghar,1882.37,39000000.0,7.0,4.0,,West,13.0
4.0,Kathmandu,Dhumbarahi,1882.37,57500000.0,10.0,,,North,13.0
2.5,Lalitpur,Imadol,1069.53,25000000.0,4.0,3.0,,South East,13.0
3.0,Kathmandu,Budhanilkantha,1882.37,37500000.0,5.0,,,South,13.0
3.5,Kathmandu,Maitidevi,1754.03,39000000.0,9.0,5.0,,South West,13.0
2.5,Lalitpur,Imadol,1112.31,25000000.0,7.0,4.0,,North,13.0
2.5,Lalitpur,Tikathali,1133.7,25000000.0,4.0,4.0,,East,13.0
2.5,Lalitpur,Tikathali,1197.875,25000000.0,3.0,3.0,,South West,13.0
2.5,Bhaktapur,Sallaghari,1411.78,25000000.0,6.0,3.0,,North West,13.0
3.0,Lalitpur,Imadol,1197.87,34000000.0,6.0,,,South,13.0
2.5,Kathmandu,Tribhuwan Park,1369.0,26000000.0,5.0,4.0,,North East,13.0
7.0,Kathmandu,Kalanki,1369.0,26500000.0,1.0,1.0,,East,13.0
2.5,Kathmandu,Jyotinagar,1540.125,26000000.0,5.0,5.0,,South,13.0
3.0,Kathmandu,Aryal-Gaun,1369.0,27500000.0,3.0,5.0,,South,13.0
2.5,Kathmandu,Banasthali,1369.0,27500000.0,5.0,5.0,,South,13.0
2.5,Kathmandu,Greenland,1369.0,27500000.0,5.0,5.0,,East,13.0
2.5,Kathmandu,Naikap,1369.0,27500000.0,5.0,3.0,,South East,13.0
2.5,Kathmandu,Naikap,1369.0,27500000.0,6.0,5.0,,East,13.0
2.5,Kathmandu,Gairigaun,1711.25,27500000.0,7.0,4.0,,East,13.0
2.5,Kathmandu,Pasikot,1369.0,24500000.0,6.0,5.0,,South East,13.0
2.5,Kathmandu,Kapan,1369.0,28000000.0,7.0,4.0,,East,13.0
,Kathmandu,Machhegaun,1369.0,26000000.0,,,,North East,13.0
4.0,Bhaktapur,Balkot,1582.9,28000000.0,8.0,5.0,,East,13.0
,Kathmandu,Tarakeswor,1369.0,25500000.0,5.0,,,South,13.0
2.5,Kathmandu,Mandikataar,1711.25,28000000.0,6.0,4.0,,East,13.0
3.0,Lalitpur,Rajkulo,1026.75,28100000.0,5.0,4.0,,North,13.0
2.5,Lalitpur,Bhaisepati,1540.12,28500000.0,6.0,4.0,,East,13.0
3.0,Kathmandu,Kadaghari,1369.0,29500000.0,6.0,3.0,,South,13.0
,Kathmandu,Budhanilkantha,1369.0,33000000.0,,,,East,13.0
3.5,Lalitpur,Hattiban,1403.225,28700000.0,6.0,5.0,,South,13.0
1.0,Kathmandu,Gongabu,1369.0,29000000.0,1.0,1.0,,South,13.0
2.5,Bhaktapur,Balkot,1369.0,14500000.0,5.0,3.0,,West,13.0
5.0,Kathmandu,Balaju,1369.0,32000000.0,,,,North East,13.0
2.5,Kathmandu,Sitapaila,1283.43,21500000.0,4.0,4.0,,East,13.0
2.0,Lalitpur,Seti pakha,1283.43,14000000.0,3.0,,,South,13.0
2.5,Lalitpur,Sanagaun,1775.42,28000000.0,5.0,3.0,,East,13.0
2.5,Kathmandu,Balaju,1540.125,26000000.0,4.0,3.0,,East,13.0
2.0,Kathmandu,Maharajgunj,1369.0,24000000.0,4.0,2.0,,East,13.0
2.5,Lalitpur,Nayabasti,1197.87,27500000.0,5.0,4.0,,East,13.0
3.0,Kathmandu,Kapan,1540.12,20000000.0,8.0,3.0,,South East,13.0
1.0,Kathmandu,Jarankhu,1540.12,18500000.0,2.0,1.0,,East,13.0
3.0,Kathmandu,Budhanilkantha,1540.12,33000000.0,7.0,3.0,,South East,13.0
3.5,Kathmandu,Palden plotting,1497.34,25000000.0,11.0,4.0,,South East,13.0
3.0,Lalitpur,Nakhipot,1197.875,26500000.0,5.0,4.0,,North,13.0
2.5,Lalitpur,Imadol,1197.87,19000000.0,5.0,3.0,,South,13.0
2.5,Kathmandu,Har har mahadev,1475.95,18500000.0,6.0,3.0,,North West,13.0
3.0,Lalitpur,Hattiban,1380.0,26500000.0,6.0,5.0,,East,13.0
2.5,Kathmandu,Kapan,1437.45,26500000.0,5.0,5.0,,East,13.0
4.0,Kathmandu,Kathmandu,1454.56,23500000.0,3.0,,,North,13.0
1.0,Kathmandu,Bhangal,1197.87,27500000.0,3.0,3.0,,South East,13.0
3.5,Bhaktapur,Chundevi,1796.8,26500000.0,8.0,4.0,,East,13.0
2.5,Kathmandu,Kageshwori Manohara,1197.87,27000000.0,6.0,3.0,,North,13.0
2.5,Lalitpur,Lamatar,1197.87,17500000.0,2.0,3.0,,South,13.0
3.5,Kathmandu,,1390.39,33500000.0,15.0,,,North,13.0
3.5,Kathmandu,Boudha,1369.0,27000000.0,4.0,4.0,,East,13.0
2.5,Kathmandu,Kapan,1369.0,27000000.0,5.0,5.0,,East,13.0
2.5,Kathmandu,Man B Marga,1369.0,27000000.0,5.0,5.0,,East,13.0
3.0,,,1390.39,27500000.0,5.0,4.0,,West,13.0
