title,district,Municipality,vdc,landsize,Road,price,bedroom,bathroom,builtyear,parking,direction,url
"New House For Sale In Sallaghari, Bhaktapur | 9866112840",Bhaktapur,Suryabinayak,Subarnachowk,1500,10,29500000,8,3,2075,3-,South,https://www.gharghaderi.com/house/1648-New-House-For-Sale-In-Sallaghari-Bhaktapur/
House for sale in Sanothimi | 9843583481,Bhaktapur,Madhyapur Thimi,Sanothimi,1625.68,13,38000000,6,4,2076,3-,West,https://www.gharghaderi.com/house/2636-House-for-sale-in-Sanothimi/
New house for sale at Balkot 2 Suryabinayak | 9823592493,Bhaktapur,Suryabinayak,Balkot,1754.03,30,42500000,5,4,2075,3-,South,https://www.gharghaderi.com/house/819-New-house-for-sale-at-Balkot-2-Suryabinayak/
New house for sale in Sipdol 8 Suryabinayak | 9841 21227,Bhaktapur,Suryabinayak,Sipadol,2053.5,15,48000000,7,5,2074,3-,West,https://www.gharghaderi.com/house/662-New-house-for-sale-in-Sipdol-8-Suryabinayak/
Modern house for sale at Parbati tole 8 Bhakatapur | 9841459668,Bhaktapur,Suryabinayak,Suryabinayak,3422.5,13,55100000,5,4,2076,3-,East,https://www.gharghaderi.com/house/969-Modern-house-for-sale-at-Parbati-tole-8-Bhakatapur/
fully furnished 2.5 storey bungalow on sale at Dadhikot Bhaktapur | 9863776434,Bhaktapur,Madhyapur Thimi,Dadhikot,3422.5,14,59500000,5,6,2066,3+,East,https://www.gharghaderi.com/house/3370-fully-furnished-2.5-storey-bungalow-on-sale-at-Dadhikot-Bhaktapur/
"House For Sale At Dadhikot Height, Bhaktapur | 9851093218",Bhaktapur,Suryabinayak,Dadhikot Height,3422.5,16,63000000,5,5,2068,3+,South,https://www.gharghaderi.com/house/2390-House-For-Sale-At-Dadhikot-Height-Bhaktapur/
House for sale at balkot | 9851178232,Bhaktapur,Suryabinayak,Balkot 2,3422.5,13,75000000,6,5,2076,3-,East,https://www.gharghaderi.com/house/2655-House-for-sale-at-balkot/
House for sell in Kausaltar | 9851050192,Bhaktapur,Madhyapur Thimi,Kausaltar,3762,20,80000000,8,5,2073,3+,North west,https://www.gharghaderi.com/house/2376-House-for-sell-in-Kausaltar/
Fully furnished house on sale in smart city near engineering college | 9803563704,Bhaktapur,Changunarayan,Duwakot,1060.975,10,750000000,4,1,2076,3-,South,https://www.gharghaderi.com/house/2221-Fully-furnished-house-on-sale-in-smart-city-near-engineering-college/
"2.5 storied house for sale at Dhalmal, Tarkeshwor | 9846725328",Kathmandu,Tarakeshwor ,Dhalmal Pul,1200,12,5000000,7,3,2076,3-,South west,https://www.gharghaderi.com/house/2991-2.5-storied-house-for-sale-at-Dhalmal-Tarkeshwor/
"House sale at jhochee, basantapur | 9860605506",Kathmandu,Kathmandu,Jhoor,427.81,6,8500000,1,1,2076,3-,East,https://www.gharghaderi.com/house/1945-House-sale-at-jhochee-basantapur/
"House for sale near Thali chaur, Dachhi-5 Kathmandu | 9860000538",Kathmandu,Kathmandu,Thali milan chowk,900,10,9100000,3,2,2073,3-,West,https://www.gharghaderi.com/house/1688-House-for-sale-near-Thali-chaur-Dachhi-5-Kathmandu/
1.5 storey house for sale in Thankot 7 Chandragiri | 9851155216,Kathmandu,Chandragiri,Thankot,1219.26,13,9500000,2,1,2074,3-,East,https://www.gharghaderi.com/house/796-1.5-storey-house-for-sale-in-Thankot-7-Chandragiri/
House for sale | 9851225903,Kathmandu,Kathmandu,,410.7,6,10000000,1,2,2075,3-,East,https://www.gharghaderi.com/house/931-House-for-sale/
House for sale at Dachi Kathmandu | 9841138668,Kathmandu,Kageshwori-Manohara,Thali,1026.75,13,10500000,3,1,,3-,,https://www.gharghaderi.com/house/469-House-for-sale-at-Dachi-Kathmandu/
House for sale in Chandragiri Balambu | 9813011115,Kathmandu,Chandragiri,Balambu,855.62,10,11000000,4,3,2075,3-,East,https://www.gharghaderi.com/house/474-House-for-sale-in-Chandragiri-Balambu/
Kathmandu | 9841445185,Kathmandu,Gokarneshwor,Makalbari,1359.98,,11500000,2,2,2073,3-,East,https://www.gharghaderi.com/house/1474-Kathmandu/
"Residential House On Sale at Tarkeshwor-04, Sesmati, Kathmandu On NRs. 1.2 Crore | 9745300858",Kathmandu,Kathmandu,"Tarkeshwor-04, Sesmati",1518.73,3,12000000,1,1,2076,3-,West,https://www.gharghaderi.com/house/2802-Residential-House-On-Sale-at-Tarkeshwor-04-Sesmati-Kathmandu-On-NRs.-1.2-Crore/
House on sale at pepsicola | 9808067302,Kathmandu,Kageshwori-Manohara,Townplanning,855.625,8,12500000,2,1,2076,3-,South,https://www.gharghaderi.com/house/1283-House-on-sale-at-pepsicola/
House for sale at Kapan 10 Budhanilkantha | 9849815364,Kathmandu,Budhanilkantha,Kapan,855.625,8,12500000,4,3,,,,https://www.gharghaderi.com/house/385-House-for-sale-at-Kapan-10-Budhanilkantha/
New house sales at kapan kharibot Kathmandu | 9860325808,Kathmandu,Kathmandu,Kharibot,1026.75,13,12500000,2,1,2073,3-,South,https://www.gharghaderi.com/house/933-New-house-sales-at-kapan-kharibot-Kathmandu/
"Seshmati, Lambagar, Kathmandu | 9861898926",Kathmandu,Tarakeshwor,"Lambagar, Sesmati",1026.75,10,12700000,3,1,2072,3-,North,https://www.gharghaderi.com/house/2272-Seshmati-Lambagar-Kathmandu/
new house in gokarna | 9851003105,Kathmandu,Kathmandu,gokarna,1026.75,13,13000000,2,1,2076,3-,East,https://www.gharghaderi.com/house/2668-new-house-in-gokarna/
House for sale in Thankot Chandragiri Kathmandu | 9851142573,Kathmandu,Chandragiri,Thankot,1026.75,24,13000000,5,3,,3-,,https://www.gharghaderi.com/house/845-House-for-sale-in-Thankot-Chandragiri-Kathmandu/
House for sale at Kirtipur | sold,Kathmandu,Kirtipur,Panga,1026.75,10,13500000,4,3,2076,3-,South,https://www.gharghaderi.com/house/984-House-for-sale-at-Kirtipur/
House For sale in Kapan | 9841945512,Kathmandu,Budhanilkantha,KAPAN,1200,13,13900000,2,1,2068,3-,North east,https://www.gharghaderi.com/house/1361-House-For-sale-in-Kapan/
House for sale at Kapan | 9844651771,Kathmandu,Budhanilkantha,Kapan,1026.75,12,14000000,2,1,,3-,,https://www.gharghaderi.com/house/814-House-for-sale-at-Kapan/
House for Sale Kapan | 9808215744,Kathmandu,Budhanilkantha,Kapan,1197.875,12,14000000,2,2,2070,3-,East,https://www.gharghaderi.com/house/1529-House-for-Sale-Kapan/
2.5 storayed house in sell at jorpati | 9845919895,Kathmandu,Gokarneshwor,Jorpati,752.95,10,14300000,3,3,2071,3-,South,https://www.gharghaderi.com/house/2270-2.5-storayed-house-in-sell-at-jorpati/
"Affordable House for sale in High Vision Colony Chandragiri, Kathmandu | 9742927192",Kathmandu,Chandragiri,Thankot,1000,6,14500000,5,3,2072,3-,North west,https://www.gharghaderi.com/house/2010-Affordable-House-for-sale-in-High-Vision-Colony-Chandragiri-Kathmandu/
"House for sale in padma colony 1st phase, Nagarjun, sitapaila, kathmandu | 9808042494 sold",Kathmandu,Nagarjun,Sitapaila,1095.2,10,14500000,3,3,2073,3-,East,https://www.gharghaderi.com/house/1453-House-for-sale-in-padma-colony-1st-phase-Nagarjun-sitapaila-kathmandu/
Urgent sale bank ko loan ko problem le garera | 9844557477,Kathmandu,Budhanilkantha,Ganesh chowk,1540.12,6,15000000,4,2,2070,3-,East,https://www.gharghaderi.com/house/2644-Urgent-sale-bank-ko-loan-ko-problem-le-garera/
House for sale in Kirtipur Kathmandu | 9841765173,Kathmandu,Kirtipur,Bhatkepati,1882.375,,15000000,,,,,,https://www.gharghaderi.com/house/726-House-for-sale-in-Kirtipur-Kathmandu/
Pension House | 9860931328,Kathmandu,Nagarjun,sitapaila,855.625,13,15500000,5,3,2067,3-,South,https://www.gharghaderi.com/house/2173-Pension-House/
Tahachal | 9745300858,Kathmandu,Nagarjun,Tahachal,1176.48,8,15500000,1,1,2066,3-,East,https://www.gharghaderi.com/house/2771-Tahachal/
House for sale in Sitapaiala | 9846130713,Kathmandu,Nagarjun,Sitapaila,970.9047,,16000000,2,2,2072,3-,West,https://www.gharghaderi.com/house/2602-House-for-sale-in-Sitapaiala/
"House for sale in Mulpani, 50 mtrs from sankhu highway | 9860008174",Kathmandu,Kathmandu,mulpani,1000,10,16000000,4,3,2070,3-,East,https://www.gharghaderi.com/house/2554-House-for-sale-in-Mulpani-50-mtrs-from-sankhu-highway/
2.5 storey house on sale at Sukedhara | 9851155216 sold,Kathmandu,Budhanilkantha,Sukedhara,1026.75,20,16000000,6,3,2070,3-,East,https://www.gharghaderi.com/house/1217-2.5-storey-house-on-sale-at-Sukedhara/
2 Bedroom Good House for Sale in Budhanilkantha Kathmandu | 9807025111,Kathmandu,Budhanilkantha,Chunikhel,1060.975,13,16000000,2,1,2076,3-,North,https://www.gharghaderi.com/house/1957-2-Bedroom-Good-House-for-Sale-in-Budhanilkantha-Kathmandu/
New house for sale at M AANAmaiju 19 Tarkeshwor | 9849295561,Kathmandu,Tarkeshwor,M AANAmaiju,1197.87,10,16000000,5,2,2075,3-,East,https://www.gharghaderi.com/house/635-New-house-for-sale-at-M AANAmaiju-19-Tarkeshwor/
"House for sale in Padma Colony, Sitapaila | 9841643265",Kathmandu,Nagarjun,Sitapaila,1200,8,16000000,3,2,2074,3-,North,https://www.gharghaderi.com/house/2016-House-for-sale-in-Padma-Colony-Sitapaila/
Houses For Sale At Teku Kathmandu | 9841297497,Kathmandu,Kathmandu,Teku,3764.75,13,16000000,1,1,2076,3-,North,https://www.gharghaderi.com/house/1252-Houses-For-Sale-At-Teku-Kathmandu/
Urgent sale of house located in Kirtipur due to DV lottery visa of USA | 9844238644,Kathmandu,Kirtipur,Dhalpa,1000,13,16500000,8,3,2073,3-,South,https://www.gharghaderi.com/house/2229-Urgent-sale(165-lakhs-instead-of-180-lakhs)-of-house-located-in-Kirtipur-due-to-DV-lottery-visa-of-USA(30-days-le-to-go)/
New house for sale in Gurjudhara 5 Chandragiri | 9841022857,Kathmandu,Chandragiri,Gurjudhara,1197.87,16,16500000,4,3,2075,3-,East,https://www.gharghaderi.com/house/848-New-house-for-sale-in-Gurjudhara-5-Chandragiri/
bhangal sweet home | 9840872228 sold,Kathmandu,Budhanilkantha,bhangal,1197.875,13,16500000,5,4,2074,3-,South west,https://www.gharghaderi.com/house/1186-bhangal-sweet-home/
"3 Storey Cozy House For SALE At Sanobharyang, Kathmandu | 9802601313",Kathmandu,Kathmandu,Kathmandu,855.62,16,17000000,4,2,2076,3-,West,https://www.gharghaderi.com/house/2794-3-Storey-Cozy-House-For-SALE-At-Sanobharyang-Kathmandu/
House for sale at Dhungeadda Chandragiri | 9851162057,Kathmandu,Chandragiri,Dhungeadda,855.62,16,17000000,6,3,2069,3-,East,https://www.gharghaderi.com/house/623-House-for-sale-at-Dhungeadda-Chandragiri/
House for sale at Sitapaila | 9801176477,Kathmandu,Nagarjun,Sitapaila,1112.31,15,17000000,4,2,,3-,east,https://www.gharghaderi.com/house/798-House-for-sale-at-Sitapaila/
House neart checkpost only 100m from main road withnCheap price | 9843620642,Kathmandu,Chandragiri,Checkpost,1711.25,,17000000,7,2,2067,3-,East,https://www.gharghaderi.com/house/2100-House-neart-checkpost-only-100m-from-main-road-withnCheap-price/
"Residential House On Sale at Khahare, Kadaghari, Nearby Aksharaa School , Kathmandu | 9745300858",Kathmandu,Kathmandu,"Khahare, Kadaghari, Nearby Aksharaa School",1026.75,10,17200000,5,1,2076,3-,South,https://www.gharghaderi.com/house/2768-Residential-House-On-Sale-at-Khahare-Kadaghari-Nearby-Aksharaa-School-Kathmandu/
House for sale in Sukedhara | 9840872228,Kathmandu,Budhanilkantha,Sukedhara,1026.75,13,17200000,,,,,south west,https://www.gharghaderi.com/house/371-House-for-sale-in-Sukedhara/
3  AANA House in Gothatar | 9840390862,Kathmandu,kageshawori maniohara,Gothatar,1026.75,13,17500000,4,3,2076,3-,East,https://www.gharghaderi.com/house/2552-3- AANA-House-in-Gothatar/
House for sale | 9828733738,Kathmandu,Nagarjun,Sitapaila,1112.3125,16,17500000,5,4,2073,3-,North,https://www.gharghaderi.com/house/902-House-for-sale/
House on sale in Jorpati | 9803160460,Kathmandu,Kathmandu,Jorpati,1500,,17500000,2,1,2075,3-,East,https://www.gharghaderi.com/house/2587-House-on-sale-in-Jorpati/
Affordable House In Namuna basti Chandragiri | 988603798,Kathmandu,Chandragiri,Balagau,1711.25,12,17500000,4,2,2075,3-,East,https://www.gharghaderi.com/house/2140-Affordable-House-In-Namuna-basti-Chandragiri/
New house built on 2073/74 aer earthquake on sale due to winning DV lottery | 9844238644,Kathmandu,Kirtipur,3  AANA,1026.75,13,18000000,8,3,2073,3-,South east,https://www.gharghaderi.com/house/2191-New-house-built-on-2073/74-aer-earthquake-on-sale-due-to-winning-DV-lottery/
New house for sale in Imadol 6 Lalitpur | 9849649859 sold,Kathmandu,Mahalaxmi,Imadol,1026.75,13,18000000,6,3,2076,3-,North east,https://www.gharghaderi.com/house/900-New-house-for-sale-in-Imadol-6-Lalitpur/
New house for sale at Kirtipur | 9851155216 sold,Kathmandu,Kirtipur,Bhatkepati,1197.87,13,18000000,6,3,2076,3-,South,https://www.gharghaderi.com/house/1267-New-house-for-sale-at-Kirtipur/
"Residential House On Sale at Gurung Tole Nearby Aani Gumba, Kapan, Kathmandu | 9745300858",Kathmandu,Kathmandu,"Gurung Tole Nearby Aani Gumba, Kapan",1796.8,16,18000000,2,4,2076,3-,North east,https://www.gharghaderi.com/house/2804-Residential-House-On-Sale-at-Gurung-Tole-Nearby-Aani-Gumba-Kapan-Kathmandu/
New house sell | 9851310190,Kathmandu,kapan,Kapan,1026.75,20,18500000,3,3,2075,3-,West,https://www.gharghaderi.com/house/2542-New-house-sell/
House for sell at Chandragiri | 9863030145,Kathmandu,Chandragiri,Thankot,3080.25,10,18500000,4,1,2076,3+,West,https://www.gharghaderi.com/house/1153-House-for-sell-at-Chandragiri/
House for sale in Ason Kathmandu | 9841427015,Kathmandu,Kathmandu,Ason,171.12,12,19000000,1,1,2075,3-,,https://www.gharghaderi.com/house/407-House-for-sale-in-Ason-Kathmandu/
House for sale at Boudhha Nayabasti | 9841460296,Kathmandu,Budhanilkantha,Boudha,1197.87,20,19000000,,,,,,https://www.gharghaderi.com/house/444-House-for-sale-at-Boudhha-Nayabasti/
House Sell at Kapan | 9843828268,Kathmandu,Budhanilkantha,Kapan,1369,10,19000000,2,1,2067,3-,West,https://www.gharghaderi.com/house/1334-House-Sell-at-Kapan/
House for Sale in Milanchwok Kirtipur (Kalanki Khasibazar ko mathi Height ma) ) | 9851182580,Kathmandu,Kirtipur,Kalanki,1200,6,19499988,3,3,2068,3-,West,https://www.gharghaderi.com/house/1855-House-for-Sale-in-Milanchwok-Kirtipur-(Kalanki-Khasibazar-ko-mathi-Height-ma)-)/
"Residential House For Sale in Chunikhel, Budhanilkantha Nearby Peak point School | 9745300858",Kathmandu,Kathmandu,"Chunikhel, Budhanilkantha Nearby Peak point School",898,10,19500000,4,3,2076,3-,South west,https://www.gharghaderi.com/house/2941-Residential-House-For-Sale-in-Chunikhel-Budhanilkantha-Nearby-Peak-point-School/
House on Sell | 9818097854,Kathmandu,Gokarneswor,3  AANA,1026.75,13,19500000,6,3,2068,3-,West,https://www.gharghaderi.com/house/2326-House-on-Sell/
Ghar bikrima | 9843426142,Kathmandu,Kageshwori-Manohara,Kadaghari,1240.65,12,19500000,,,2072,3-,North,https://www.gharghaderi.com/house/357-Ghar-bikrima/
Newly built house for sale at B AANAsthali Kharibot | 9849106034,Kathmandu,Nagarjun,B AANAsthali,1027,7.6,20000000,5,3,2076,3-,North,https://www.gharghaderi.com/house/1261-Newly-built-house-for-sale-at-B AANAsthali-Kharibot/
House for sale in Chabahil | 9844416666,Kathmandu,Kathmandu,Chabahil,1369,6,20000000,6,2,2067,3-,East,https://www.gharghaderi.com/house/1982-House-for-sale-in-Chabahil/
"Urgent Full Furnished House On Sale At Bhangal Height, Budhanilkantha. | 9847369375",Kathmandu,Budhanilkantha,Bhangal,1026.75,20,21000000,6,3,2076,3-,East,https://www.gharghaderi.com/house/1856-Urgent-Full-Furnished-House-On-Sale-At-Bhangal-Height-Budhanilkantha./
House for sale at Imadol Lalitpur | 9851047901,Kathmandu,Mahalaxmi,Imadol,1369,20,21000000,4,4,2074,3-,,https://www.gharghaderi.com/house/878-House-for-sale-at-Imadol-Lalitpur/
House on sale in Bharatpur | 9845920990,Kathmandu,Bharatpur,Malpot-Chowk,2004.75,20,21000000,5,4,2076,3-,East,https://www.gharghaderi.com/house/996-House-on-sale-in-Bharatpur/
House for sale at Dahachowk | 9841251085,Kathmandu,Chandragiri,Dahachowk,1197.87,12,21500000,7,4,2073,3-,East,https://www.gharghaderi.com/house/1081-House-for-sale-at-Dahachowk/
New house for sale in Mandikatar Budhanilkantha | 9851155216 Sold,Kathmandu,Budhanilkantha,Mandikataar,1112.31,12,22000000,5,5,2075,3-,East,https://www.gharghaderi.com/house/546-New-house-for-sale-in-Mandikatar-Budhanilkantha/
House for sale at Bhangal Sundarbasti | 9851249307,Kathmandu,Budhanilkantha,bhangal,1197.87,13,22000000,7,5,2076,3-,East,https://www.gharghaderi.com/house/1150-House-for-sale-at-Bhangal-Sundarbasti/
sasto ghar budhanilkantha | 9840872228,Kathmandu,Budhanilkantha,Narayanthan,1369,13,22000000,6,4,2071,3-,East,https://www.gharghaderi.com/house/1214-sasto-ghar-budhanilkantha/
House sale in chandragiri 7 | 9823149701,Kathmandu,Chandragiri,itakhel,1711.25,10,22000000,6,3,2074,3-,East,https://www.gharghaderi.com/house/3497-House-sale-in-chandragiri-7/
Beautiful House On Sale At Balkhu | 9843635550,Kathmandu,Kathmandu,Balkhu,1026.75,16,22350000,3,3,2076,3-,North,https://www.gharghaderi.com/house/2300-Beautiful-House-On-Sale-At-Balkhu/
3 storey house for sale in Budhanilkantha Kathmandu | 9840872228,Kathmandu,Budhanilkantha,Pasikot,1069.53,15,22500000,6,5,2075,3-,South east,https://www.gharghaderi.com/house/858-3-storey-house-for-sale-in-Budhanilkantha-Kathmandu/
New house for sale in Jyotinagar 10 Budhanilkantha | 9823013235,Kathmandu,Budhanilkantha,Jyotinagar,1197.87,13,22500000,5,4,2075,3-,East,https://www.gharghaderi.com/house/599-New-house-for-sale-in-Jyotinagar-10-Budhanilkantha/
Brand new house for sale at Nayapati Gokarneshwor | 9847369375,Kathmandu,Gokarneshwor,Nayapati,1711.25,20,22500000,4,3,2075,3-,East,https://www.gharghaderi.com/house/1206-Brand-new-house-for-sale-at-Nayapati-Gokarneshwor/
House for sale in Satugal | 9851047524,Kathmandu,Chandragiri,Satungal,1796.81,16,22500000,4,3,2073,3-,east,https://www.gharghaderi.com/house/481-House-for-sale-in-Satugal/
House for salein Budhanilkantha | 9860728476,Kathmandu,Budhanilkantha,Pasikot,350.796,13,23000000,1,5,2076,3-,South,https://www.gharghaderi.com/house/1689-House-for-salein-Budhanilkantha/
House for sale in B AANAsthali Dhungedhara | 9813741094,Kathmandu,Nagarjun,B AANAsthali,1112.31,14,23000000,5,4,2075,3-,,https://www.gharghaderi.com/house/475-House-for-sale-in-B AANAsthali-Dhungedhara/
BUDGET BUNGALOW ON SALE AT BHANGAL | 9847369375,Kathmandu,Budhanilkantha,Bhangal,1197.87,13,23000000,4,3,2076,3-,East,https://www.gharghaderi.com/house/1847-BUDGET-BUNGALOW-ON-SALE-AT-BHANGAL/
House for sale | 9861828129 sold,Kathmandu,Budhanilkantha,Budhanilkantha,1197.875,16,23000000,4,3,2076,3-,East,https://www.gharghaderi.com/house/1960-House-for-sale/
Man B Marga small home | 9840872228,Kathmandu,Budhanilkantha,Man B Marga,1197.875,12,23000000,3,4,2076,3-,East,https://www.gharghaderi.com/house/1565-Man-B-Marga-small-home/
Fully furnished house for sale in Pasikot Budhanilkantha | 977984965 sold,Kathmandu,Budhanilkantha,Pasikot,1454.56,13,23000000,6,5,,3-,,https://www.gharghaderi.com/house/687-Fully-furnished-house-for-sale-in-Pasikot-Budhanilkantha/
House for sale at Gothatar 9 Kaageshwori Manohar | 9813172585,Kathmandu,Kageshwori-Manohara,Gothatar,1454.56,16,23000000,6,5,2075,3-,East,https://www.gharghaderi.com/house/629-House-for-sale-at-Gothatar-9-Kaageshwori-Manohar/
Baniyatar 3 floor house on sale | 9840872228,Kathmandu,Tokha,Baniyatar,1129.425,13,23500000,7,5,2076,3-,East,https://www.gharghaderi.com/house/1273-Baniyatar-3-floor-house-on-sale/
"New house for sale in kapan 11, budhanilkantha | 9851068059",Kathmandu,Budhanilkantha,Kapan,1197.875,10,23500000,5,3,2076,3-,South east,https://www.gharghaderi.com/house/2382-New-house-for-sale-in-kapan-11-budhanilkantha/
Semi furnished house for sale at Samakhusi Kathmandu | 9801132733,Kathmandu,Kathmandu,Samakhusi,1369,12,23500000,5,4,2075,3-,,https://www.gharghaderi.com/house/359-Semi-furnished-house-for-sale-at-Samakhusi-Kathmandu/
House for sale at Baniyatar Tokha | 9840872228,Kathmandu,Tokha,Baniyatar,1540.12,14,23500000,5,4,2076,3-,South,https://www.gharghaderi.com/house/1079-House-for-sale-at-Baniyatar-Tokha/
Guthi House on salw | 9843236785,Kathmandu,Gokarneshwor,nayabasti,1711.25,10,23500000,1,1,2076,3-,South,https://www.gharghaderi.com/house/2685-Guthi-House-on-salw/
House for sale in Gongabu Mitr AANAgar | 9846180990,Kathmandu,Kathmandu,Gongabu,1197.87,12,23750000,6,5,2075,3-,East,https://www.gharghaderi.com/house/626-House-for-sale-in-Gongabu-Mitr AANAgar/
New house for sale in Bhangal Budhanilkantha | 9823013235,Kathmandu,Budhanilkantha,Bhangal,1390.39,13,23800000,5,5,2075,3-,East,https://www.gharghaderi.com/house/611-New-house-for-sale-in-Bhangal-Budhanilkantha/
"Kageshwori manohara, 2.5 talle ghar bikrima. | 9860139214",Kathmandu,Kathmandu,Kageshwori Manohara,1197.875,20,24000000,6,3,2076,3-,East,https://www.gharghaderi.com/house/2241-Kageshwori-manohara-har-har-mahadev-chowk-bata-200m-bhitra-height-ma-recently-baneko-aakarshak-2.5-talle-ghar-bikrima./
New house on sale kapan Gurung tol | 9803725216,Kathmandu,Budhanilkantha,Kapan,1197.875,13,24000000,7,4,2076,3-,West,https://www.gharghaderi.com/house/1401-New-house-on-sale-kapan-Gurung-tol/
"Budhanilkantha 13, Kathmandu. | 9810114432",Kathmandu,Budhanilkantha,Budhanilkantha,1369,20,24000000,1,1,2076,3-,East,https://www.gharghaderi.com/house/2007-Budhanilkantha-13-Kathmandu./
House for sale at Bafal Sitapaila | 9849001447,Kathmandu,Nagarjun,Bafal,1026.75,12,24500000,4,3,,3-,east,https://www.gharghaderi.com/house/853-House-for-sale-at-Bafal-Sitapaila/
house for sale at Mulpani Pipalbot | 014115679,Kathmandu,Kathmandu,Mulpani,1369,10,24500000,6,3,2075,3-,East,https://www.gharghaderi.com/house/610-house-for-sale-at-Mulpani-Pipalbot/
New house on urgent sell | 9860485662,Kathmandu,Tokha,Bhatkeko pool,103.34,16,25000000,4,3,2076,3-,East,https://www.gharghaderi.com/house/1036-New-house-on-urgent-sell/
House for sale | 9849935335,Kathmandu,Kathmandu,Kalikasthan,513.37,,25000000,3,2,2066,3-,East,https://www.gharghaderi.com/house/2640-House-for-sale/
"house for sale in sanobharang,kathmandu | 9861587706",Kathmandu,Nagarjun,pabitra basti sanobharang,900,10,25000000,5,3,2076,3-,East,https://www.gharghaderi.com/house/1953-house-for-sale-in-sanobharang-kathmandu/
House for sale in kathmandu basundhara-7 | 9841313124,Kathmandu,Tokha,BASUNDHARA,1369,13,25000000,6,4,2070,3-,South east,https://www.gharghaderi.com/house/2176-House-for-sale-in-kathmandu-basundhara-7/
New house for sale in Tinth AANA Kathmandu | 9851036806,Kathmandu,Chandragiri,Tinth AANA,1369,12,25000000,4,4,,3-,City,https://www.gharghaderi.com/house/440-New-house-for-sale-in-Tinth AANA-Kathmandu/
Fully furnished house for sale in Chapali | sold,Kathmandu,Budhanilkantha,Chapali,1454.56,12,25000000,4,4,2075,3-,North west,https://www.gharghaderi.com/house/472-Fully-furnished-house-for-sale-in-Chapali/
House sale in Kapan | 9851214541,Kathmandu,Budhanilkantha,Kapan,1540.125,12,25000000,7,5,2067,3-,North east,https://www.gharghaderi.com/house/1039-House-sale-in-Kapan/
kathmandu takeswor | 9851277105,Kathmandu,Tarkeshwor,Phutung,1561.51,12,25000000,5,4,2076,3-,East,https://www.gharghaderi.com/house/1776-kathmandu-takeswor/
House for sale in Satungal Chandragiri Kathmandu | 9841206154,Kathmandu,Chandragiri,Satungal,1711.25,12,25000000,,,,,,https://www.gharghaderi.com/house/410-House-for-sale-in-Satungal-Chandragiri-Kathmandu/
Brand New house on sale at Gokarna Jorpati | 9841619820,Kathmandu,Gokarneshwor,Gokarna,1818.2,44,25000000,8,3,2076,3-,East,https://www.gharghaderi.com/house/1912-Brand-New-house-on-sale-at-Gokarna-Jorpati/
Semi-commercial house for sale at Gongabu KTM | 9851246683,Kathmandu,Kathmandu,Gongabu,2395.75,12,25000000,8,6,,3-,,https://www.gharghaderi.com/house/627-Semi-commercial-house-for-sale-at-Gongabu-KTM/
Bungalow for sale in Sitapaila Nagarjun | 9818424657,Kathmandu,Nagarjun,Sitapaila,1454.56,13,25300000,5,5,2075,3-,East,https://www.gharghaderi.com/house/713-Bungalow-for-sale-in-Sitapaila-Nagarjun/
"Residential House On Sale at BUDHANILKANTHA, Dulal Tole, Just 1 Km away from Budhanilkantha temple | 9745300858",Kathmandu,Kathmandu,"BUDHANILKANTHA, Dulal Tole",1745.475,14,25500000,5,3,2076,3+,East,https://www.gharghaderi.com/house/2765-Residential-House-On-Sale-at-BUDHANILKANTHA-Dulal-Tole-Just-1-Km-away-from-Budhanilkantha-temple/
House for Sale | 9851057384,Kathmandu,Nagarjun,Syuchatar,1925.15,10,25500000,4,2,2067,3-,West,https://www.gharghaderi.com/house/1208-House-for-Sale/
3  AANA sweet home for sale | 9840872228,Kathmandu,Budhanilkantha,Hepali,1026.75,20,26000000,4,5,2076,3-,North,https://www.gharghaderi.com/house/1840-3- AANA-sweet-home-for-sale/
2.5 storey bungalow style house with attached bathrooms | 9818189922,Kathmandu,Tokha,Near Grande Hospital,1048.14,13,26000000,3,4,2075,3-,West,https://www.gharghaderi.com/house/2329-2.5-storey-bungalow-style-house-with-attached-bathrooms/
House For Sale In Thankot | 9849560815,Kathmandu,Chandragiri,"Tribhuwan Park , Thankot",1369,13,26000000,5,4,2076,3-,North east,https://www.gharghaderi.com/house/2708-House-For-Sale-In-Thankot/
new house on sale at naikap near bidhya mandir school near nic asia bank | 9841763341,Kathmandu,Chandragiri,Naikap,1369,13,26000000,3,3,2075,3-,East,https://www.gharghaderi.com/house/2679-new-house-on-sale-at-naikap-near-bidhya-mandir-school-near-nic-asia-bank/
House for Sale with Leased Shutter | 9841874150,Kathmandu,Tokha,Tokha,1500,20,26000000,5,4,2076,3-,East,https://www.gharghaderi.com/house/1452-House-for-Sale-with-Leased-Shutter/
Cozy Family House At Balaju Height | 9840250257,Kathmandu,Kathmandu,Balaju,1540.125,13,26000000,4,3,2070,3-,East,https://www.gharghaderi.com/house/1936-Cozy-Family-House-At-Balaju-Height/
House for sale in Jyotinagar 10 Budhanilkantha | 9823013235,Kathmandu,Budhanilkantha,Jyotinagar,1540.125,13,26000000,5,5,2074,3-,south,https://www.gharghaderi.com/house/612-House-for-sale-in-Jyotinagar-10-Budhanilkantha/
