Price,Land,Bedroom,Bathroom,Floors,Address,Road,Face,City
,1711.25,,,4,Pepsicola,,South West,Kathmandu
32500000,1711.25,6,4,,Paiyatar,14,South East,Kathmandu
35000000,1711.25,6,5,3.5,Naya naikap,13,South East,Kathmandu
35000000,1711.25,9,6,3.5,Machapokhari,22,East,Kathmandu
21500000,1711.25,4,4,2.5,Hattiban,20,South East,Lalitpur
40500000,1711.25,5,4,2.5,Budhanilkantha,20,East,Kathmandu
45000000,1711.25,4,5,3,Bhainsepati,16,South West,Kathmandu
55000000,1711.25,,,,Baneshwor,20,East,Kathmandu
22000000,1689.85,5,4,2.5,Grande Villa,13,North West,Kathmandu
55000000,1668,,,,Mahaboudha,13,North,Kathmandu
14000000,1625.68,2,1,1,Shree narayan school,13,North,Lalitpur
33000000,1625.68,8,,3.5,Dadhikot,13,South West,Kathmandu
29500000,1625.68,5,5,,,13,South East,
37500000,1604.29,6,,3,Budhanilkantha,13,East,Kathmandu
19000000,1582.9,5,4,,Sallaghari,34,East,Bhaktapur
23000000,1582.9,6,3,2.5,Imadol,14,North,Lalitpur
,1540.12,9,5,6.5,Newroad,,North East,Kathmandu
45000000,1540.12,4,5,2.5,Mulpani,20,South East,Kathmandu
40000000,1540.12,6,,3.5,Khumaltar,14,South,Lalitpur
20000000,1540.12,8,3,3,Kapan,13,South East,Kathmandu
18500000,1540.12,2,1,1,Jarankhu,13,East,Kathmandu
40000000,1540.12,6,3,4,Golfutar,26,South,Kathmandu
33000000,1540.12,7,3,3,Budhanilkantha,13,South East,Kathmandu
37500000,1540.12,5,4,2.5,Budhanilkantha,14,South West,Kathmandu
26000000,1540.12,5,7,3,,24,East,
18750000,1518.73,,,,Khumaltar,,East,Lalitpur
25000000,1497.34,11,4,3.5,Palden plotting,13,South East,Kathmandu
28500000,1475.95,5,7,3.5,Swyambhu,30,North East,Kathmandu
18500000,1475.95,6,3,2.5,Har har mahadev,13,North West,Kathmandu
,1458,2,,2,Bhaktapur,14,South West,Kathmandu
23500000,1454.56,3,,4,Kathmandu,13,North,Kathmandu
29500000,1454.56,6,5,3,Kapan,12,West,Kathmandu
27000000,1454.56,,,,Kapan,12,West,Kathmandu
18500000,1411.78,6,4,2.5,Jadibuti,10,West,Kathmandu
40000000,1390.39,9,4,4,Balkumari,26,East,Lalitpur
33500000,1390.39,15,,3.5,,13,North,Kathmandu
27500000,1390.39,5,4,3,,13,West,
35000000,1377,5,,3.5,Gongabu,13,South,Kathmandu
24000000,1369,4,2,2,Maharajgunj,13,East,Kathmandu
25500000,1369,5,,,Tarakeswor,13,South,Kathmandu
19000000,1369,6,,1.5,Siddhipur,16,North East,Lalitpur
35000000,1369,5,,3,Seti pakha,,South,Kathmandu
16800000,1369,5,2,2.5,Ramkot,16,West,Kathmandu
24500000,1369,6,5,2.5,Pasikot,13,South East,Kathmandu
27000000,1369,4,3,2.5,Padma colony,20,South,Kathmandu
32500000,1369,10,5,3.5,Nikhileshwor,10,East,Kathmandu
26000000,1369,,,,Machhegaun,13,North East,Kathmandu
36000000,1369,5,,2.5,lri school,20,South,Kathmandu
53500000,1369,6,,3,Lalitpur,,North,Kathmandu
24000000,1369,4,,2.5,Kapan,12,East,Kathmandu
,1369,9,3,,Kalanki,20,West,Kathmandu
15000000,1369,2,1,1,Kageshwori Manahara,12,West,Kathmandu
29500000,1369,6,3,3,Kadaghari,13,South,Kathmandu
35000000,1369,15,5,4.5,Jarankhu,33,East,Kathmandu
26500000,1369,5,,3,Imadol,,South East,Lalitpur
,1369,6,,2.5,Imadol,20,East,Lalitpur
24000000,1369,3,3,2.5,Hattiban,16,South West,Lalitpur
13500000,1369,4,2,2,Gokarna,12,East,Kathmandu
39000000,1369,5,7,4.5,Dhumbarahi,20,South,Kathmandu
14500000,1369,,,,Dhapakhel,,South West,Kathmandu
,1369,8,4,2.5,Dhapakhel,14,South,Lalitpur
33000000,1369,,,,Budhanilkantha,13,East,Kathmandu
17000000,1369,4,2,2,Bhaktapur,10,East,Bhaktapur
,1369,,,,Bhaisipati,20,North East,Lalitpur
14500000,1369,5,3,2.5,Balkot,13,West,Bhaktapur
32000000,1369,,,5,Balaju,13,North East,Kathmandu
27500000,1369,10,4,2.5,,,West,
17500000,1347.6,3,3,2.5,Sitapaila,10,South West,Kathmandu
32000000,1326.21,,,4,Kusunti,15,North,Kathmandu
21500000,1283.43,4,4,2.5,Sitapaila,13,East,Kathmandu
14000000,1283.43,3,,2,Seti pakha,13,South,Lalitpur
32500000,1283.43,5,4,,Ranibari,13,East,Kathmandu
,1283.43,,,6,New baneshwor,,North,Kathmandu
23500000,1283.43,4,4,2.5,Imadol,20,South,Lalitpur
24500000,1283.43,6,4,2.5,Gairigaun,14,South West,Kathmandu
,1283.43,4,,,Bhaisepati,13,East,Kathmandu
27000000,1262.04,6,3,3.5,Hattiban,24,East,Lalitpur
19000000,1240.65,10,4,3.5,Sano thimi,10,East,Bhaktapur
20000000,1223,3,2,,Downtown apartment,20,South West,Lalitpur
28500000,1219.26,10,5,,,12,East,Lalitpur
20000000,1197.87,6,,3,Purano naikap,10,South,Kathmandu
17500000,1197.87,2,3,2.5,Lamatar,13,South,Lalitpur
,1197.87,4,3,2.5,Kalanki,12,North West,Kathmandu
,1197.87,7,,3,Jorpati,16,South West,Kathmandu
28500000,1197.87,6,3,2.5,Imadol,13,South,Lalitpur
34000000,1197.87,6,,3,Imadol,13,South,Lalitpur
32500000,1197.87,6,,3.5,Imadol,16,South West,Lalitpur
29500000,1197.87,5,3,2.5,Imadol,13,East,Kathmandu
19000000,1197.87,5,3,2.5,Imadol,13,South,Lalitpur
17500000,1197.87,6,4,3.5,Him shikhar school,13,South West,Kathmandu
27000000,1197.87,3,4,2.5,Harisiddhi,20,North East,Lalitpur
26000000,1197.87,7,4,2.5,Gwarko,20,East,Lalitpur
22000000,1197.87,6,3,2.5,Golfutar,13,North East,Kathmandu
25000000,1197.87,4,3,2.5,Dhapakhel,12,North East,Lalitpur
24000000,1197.87,6,4,,Changathali,12,South,Lalitpur
,1176.48,3,3,2.5,Sitapaila,20,North,Kathmandu
32000000,1176.48,,,,Imadol,15,West,Kathmandu
34000000,1133.7,5,,2.5,Town planning,15,East,Kathmandu
22000000,1133.7,6,4,2.5,Pepsicola,20,West,Kathmandu
20000000,1133.7,3,,3,Bhaktapur,20,West,Kathmandu
16000000,1112.31,2,,1,Sital tole,12,North East,Lalitpur
19000000,1112.31,,,,Sallaghari,20,East,Bhaktapur
24000000,1112.31,4,3,2.5,Matribhumi school,13,South,Bhaktapur
29500000,1112.31,8,4,3.5,Jadibuti,13,North,Kathmandu
21000000,1112.31,6,6,2.5,Bhangal,12,West,Kathmandu
20000000,1090.92,5,,2.5,Naikap,,North,Kathmandu
19700000,1090.92,4,4,2.5,Imadol,10,South East,Lalitpur
25000000,1090.92,4,4,2.5,Imadol,16,South,Kathmandu
23500000,1069.53,5,4,,Imadol,16,South,Kathmandu
23500000,1069.53,5,,2.5,Imadol,16,South,Lalitpur
21000000,1069.53,4,3,2.5,Green hill city,20,West,Kathmandu
17500000,1048.14,5,3,2.5,Imadol,14,South,Lalitpur
13500000,1026.75,3,2,1,Thankot,16,South,Kathmandu
16200000,1026.75,9,,3.5,Tarakeswor,9,North East,Kathmandu
25500000,1026.75,7,,3,Suryabinayak,12,West,Bhaktapur
23500000,1026.75,13,7,4.5,Sallaghari,12,East,Bhaktapur
25000000,1026.75,5,5,3.5,Sainbu,13,East,Lalitpur
20000000,1026.75,10,5,3.5,Narephat,13,North East,Kathmandu
19000000,1026.75,6,3,3,Narayantar,12,South East,Kathmandu
18000000,1026.75,6,,3,Nagarjun,13,North,Kathmandu
22000000,1026.75,4,3,2.5,Madhyapur Thimi,12,East,Bhaktapur
14200000,1026.75,5,2,2.5,Khadka tole,20,North East,Kathmandu
18000000,1026.75,5,3,2.5,Kapan,10,West,Kathmandu
24500000,1026.75,5,,2.5,Kadaghari,20,East,Kathmandu
17000000,1026.75,6,3,2.5,Imadol,13,North West,Kathmandu
26000000,1026.75,6,3,3,Imadol,13,East,Lalitpur
23000000,1026.75,5,4,,Imadol,13,North East,Lalitpur
19900000,1026.75,4,2,2,Imadol,13,South,Lalitpur
18500000,1026.75,4,4,2.5,Imadol,13,West,Lalitpur
28000000,1026.75,5,,3.5,Imadol,13,North,Lalitpur
20000000,1026.75,3,,2,Hattiban,13,South East,Lalitpur
28000000,1026.75,4,,2.5,Hattiban,,North East,Kathmandu
19700000,1026.75,4,4,3.5,Golfutar,15,North East,Kathmandu
16000000,1026.75,4,3,2.5,Danchhi,10,South East,Kathmandu
39200000,1026.75,17,5,4,Dallu,20,North West,Kathmandu
21000000,1026.75,7,3,2.5,,20,East,
18500000,1026.75,5,3,3,,13,East,
17500000,1026,11,9,3,Paiyatar,13,South East,Kathmandu
20500000,1005.35,,,,Tikathali,13,East,Lalitpur
14500000,983.96,4,3,2.5,Om chowk,13,West,Kathmandu
13500000,962.57,5,3,2.5,Sanagau,13,West,Lalitpur
23000000,941.18,2,3,2.5,Sun city,23,East,Kathmandu
35000000,941.18,,,,Sanepa,,South,Kathmandu
17200000,941.18,5,3,3,Madhyapur Thimi,13,North East,Bhaktapur
13500000,941.18,2,,1,Lubhu,20,North,Lalitpur
,919.79,4,,2.3,Imadol,16,West,Kathmandu
20000000,898.4,14,4,,Thimi,13,North West,Kathmandu
17000000,898.4,5,,3,Nagarjun,13,East,Kathmandu
12500000,898.4,4,2,2,Gothatar,13,East,Kathmandu
13500000,898.4,4,3,2.5,Dhapakhel,12,South,Lalitpur
17500000,877.01,4,2,2.5,Mandikhatar,20,West,Kathmandu
21500000,877.01,2,3,3.5,Chamati,26,South West,Kathmandu
19500000,855.62,7,3,2.5,Thulo bharyang,12,North East,Kathmandu
19900000,855.62,5,3,2.5,Thulo bharyang,12,South West,Kathmandu
18000000,855.62,7,,3,Madhyapur Thimi,26,West,Bhaktapur
14500000,855.62,4,3,2.5,Kapan,10,East,Kathmandu
16500000,855.62,4,3,,Imadol,16,West,Kathmandu
21000000,855.62,9,3,2.5,Boudha,13,South West,Kathmandu
92500000,748.67,,,7,,20,West,Kathmandu
17000000,727.28,7,4,3.5,Boudha,10,South East,Kathmandu
13500000,684.5,6,3,3,Chabahil,20,North,Kathmandu
13000000,680,,,,Thado dunga,20,East,Lalitpur
,680,2,1,,Sanepa,28,South West,Lalitpur
40000000,342.25,5,2,4.5,Patan durbar square,9,North East,Lalitpur
15000000,299.46,,,5,,,South East,
10000000,256.68,8,2,5,Lazimpat,30,East,Kathmandu
30000000,235.29,,,5,Dilibazar,46,South,Kathmandu
31000000,,12,,6,Sundhara,20,East,Kathmandu
,,,,4,Sinamangal,20,South,Kathmandu
,,,,,Shantinagar,,South,Kathmandu
,,,,,Mid baneshwor,,North,Kathmandu
,,,,,Kageshwori Manahara,,North,Kathmandu
20500000,,2,2,,Hattiban,20,East,Lalitpur
23500000,,3,2,4,Hattiban,20,East,Lalitpur
15500000,,3,,2.5,Dhapakhel,,West,Kathmandu
,,,,,Buddhanagar,,East,Kathmandu
50000000,,,,,Bhaisepati,,East,Kathmandu
27700000,,22,,6,Baneshwor,,East,Kathmandu
